100,0,0.1
100,0.02,0.2
100,0.02,0.3
100,0.03,0.4
100,0.03,0.5
100,0.03,0.61
100,0.02,0.71
100,0.01,0.81
100,0,0.91
101,0,1.01
101,0,1.11
101,0.01,1.21
101,0.03,1.31
101,0.04,1.41
101,0.02,1.51
101,0.03,1.61
101,0.03,1.72
101,0.03,1.82
101,0.03,1.92
102,0.02,2.02
102,0.01,2.12
102,0,2.22
102,0,2.32
102,0.01,2.42
102,0.02,2.52
102,0.03,2.63
102,0.02,2.73
102,0.02,2.83
102,0.02,2.93
103,0.01,3.03
103,0.02,3.13
103,0.05,3.23
103,0.15,3.33
103,0.33,3.43
103,0.55,3.53
103,0.77,3.64
103,0.95,3.74
103,1.11,3.84
103,1.23,3.94
104,1.33,4.04
104,1.44,4.14
104,1.53,4.24
104,1.59,4.34
104,1.61,4.44
104,1.64,4.54
104,1.69,4.65
104,1.7,4.75
104,1.71,4.85
104,1.74,4.95
105,1.79,5.05
105,1.81,5.15
105,1.82,5.25
105,1.84,5.35
105,1.87,5.45
105,1.88,5.55
105,1.88,5.66
105,1.87,5.76
105,1.81,5.86
105,1.79,5.96
106,1.77,6.06
106,1.7,6.16
106,1.69,6.26
106,1.66,6.36
106,1.62,6.46
106,1.62,6.57
106,1.61,6.67
106,1.6,6.77
106,1.58,6.87
106,1.57,6.97
107,1.56,7.07
107,1.56,7.17
107,1.6,7.27
107,1.63,7.37
107,1.66,7.48
107,1.68,7.58
107,1.69,7.68
107,1.7,7.78
107,1.69,7.88
107,1.71,7.98
108,1.74,8.08
108,1.78,8.18
108,1.8,8.28
108,1.79,8.38
108,1.8,8.48
108,1.82,8.59
108,1.81,8.69
108,1.79,8.79
108,1.75,8.89
108,1.71,8.99
109,1.7,9.09
109,1.68,9.19
109,1.66,9.29
109,1.63,9.4
109,1.62,9.5
109,1.61,9.6
109,1.61,9.7
109,1.63,9.8
109,1.64,9.9
109,1.67,10
110,1.7,10.1
110,1.71,10.2
110,1.74,10.3
110,1.75,10.4
110,1.77,10.51
110,1.79,10.61
110,1.81,10.71
110,1.81,10.81
110,1.82,10.91
111,1.82,11.01
111,1.83,11.11
111,1.85,11.21
111,1.88,11.31
111,1.88,11.42
111,1.91,11.52
111,1.92,11.62
111,1.95,11.72
111,1.93,11.82
111,1.95,11.92
112,1.94,12.02
112,1.89,12.12
112,1.88,12.22
112,1.83,12.32
112,1.8,12.43
112,1.77,12.53
112,1.75,12.63
112,1.73,12.73
112,1.71,12.83
112,1.68,12.93
113,1.66,13.03
113,1.68,13.13
113,1.68,13.23
113,1.72,13.34
113,1.73,13.44
113,1.75,13.54
113,1.79,13.64
113,1.79,13.74
113,1.81,13.84
113,1.82,13.94
114,1.84,14.04
114,1.88,14.14
114,1.88,14.25
114,1.87,14.35
114,1.89,14.45
114,1.89,14.55
114,1.93,14.65
114,1.93,14.75
114,1.93,14.85
114,1.92,14.95
115,1.93,15.05
115,1.93,15.15
115,1.93,15.26
115,1.93,15.36
115,1.97,15.46
115,1.98,15.56
115,1.99,15.66
115,1.98,15.76
115,1.99,15.86
115,1.97,15.96
116,1.99,16.06
116,1.99,16.17
116,2,16.27
116,2,16.37
116,2.02,16.47
116,2.03,16.57
116,2.03,16.67
116,2.05,16.77
116,2.07,16.87
116,2.07,16.97
117,2.07,17.07
117,2.08,17.18
117,2.07,17.28
117,2.07,17.38
117,2.08,17.48
117,2.08,17.58
117,2.08,17.68
117,2.09,17.78
117,2.08,17.88
117,2.07,17.98
118,2.08,18.08
118,2.07,18.19
118,2.1,18.29
118,2.11,18.39
118,2.12,18.49
118,2.09,18.59
118,2.08,18.69
118,2.07,18.79
118,2.1,18.89
