Time,Pressure,P1_Position_X,P1_Position_Y,P1_Position_Z,P2_Position_X,P2_Position_Y,P2_Position_Z
0.17500000000000013,16.880500000000055,0.001959985497783867,25.695326227127957,-0.022597516888096747,0.015321442496971188,12.626894472122231,11.466067128936707
0.17600000000000013,16.976960000000055,0.0019314041641396718,25.710779535182553,-0.02273207066429478,0.01538694629770802,12.633466604172238,11.465810598618429
0.17700000000000013,17.073420000000056,0.001902296740314724,25.726234138797054,-0.022866525653906455,0.015452232101903829,12.64004042449276,11.465553909814837
0.17800000000000013,17.169880000000056,0.0018726620677671502,25.741690049707216,-0.023000880078728192,0.015517300199809306,12.646615935996032,11.465297068072754
0.17900000000000013,17.266340000000056,0.0018424989865369334,25.7571472796458,-0.023135132172393935,0.015582150877128009,12.653193141597246,11.46504007888435
0.18000000000000013,17.362800000000057,0.0018118063351572067,25.7726058403426,-0.02326928018028429,0.015646784415048427,12.659772044214598,11.464782947687718
0.18100000000000013,17.459260000000057,0.0017805829505410653,25.788065743524612,-0.023403322359325518,0.015711201090278716,12.666352646769358,11.464525679867418
0.18200000000000013,17.555720000000058,0.001748827667942321,25.803527000916056,-0.02353725697786868,0.015775401175072805,12.672934952185923,11.464268280755002
0.18300000000000013,17.652180000000058,0.0017165393208624091,25.818989624238483,-0.02367108231555448,0.015839384937294913,12.67951896339188,11.464010755629602
0.18400000000000014,17.74864000000006,0.0016837167409549103,25.83445362521091,-0.023804796663125072,0.01590315264041832,12.686104683318042,11.463753109718404
0.18500000000000014,17.84510000000006,0.0016503587579654866,25.849919015549837,-0.023938398322333077,0.015966704543589845,12.692692114898527,11.463495348197217
0.18600000000000014,17.94156000000006,0.0016164641996685436,25.865385806969385,-0.024071885605780552,0.016030040901656467,12.699281261070794,11.463237476190965
0.18700000000000014,18.03802000000006,0.0015820318917280085,25.880854011181356,-0.024205256836785094,0.016093161965195533,12.705872124775702,11.462979498774228
0.18800000000000014,18.13448000000006,0.0015470606576709622,25.896323639895346,-0.024338510349246778,0.01615606798054923,12.71246470895756,11.462721420971722
0.18900000000000014,18.23094000000006,0.0015115493188217477,25.911794704818824,-0.024471644487507105,0.016218759189877884,12.719059016564177,11.462463247758818
0.19000000000000014,18.32740000000006,0.001475496694160916,25.92726721765721,-0.024604657606207114,0.016281235831172195,12.725655050546912,11.46220498406204
0.19100000000000014,18.42386000000006,0.0014389016002947508,25.942741190113985,-0.024737548070196846,0.01634349813829373,12.732252813860722,11.461946634759554
0.19200000000000014,18.520320000000062,0.0014017628513599,25.95821663389078,-0.024870314254383075,0.016405546341010813,12.738852309464205,11.461688204681636
0.19300000000000014,18.616780000000063,0.0013640792589560413,25.973693560687387,-0.02500295454358964,0.016467380665037144,12.745453540319652,11.461429698611184
0.19400000000000014,18.713240000000063,0.001325849632067,25.989171982201988,-0.025135467332438655,0.01652900133206465,12.752056509393093,11.461171121284169
0.19500000000000015,18.809700000000063,0.0012870727769505597,26.004651910131138,-0.025267851025261634,0.016590408559782464,12.758661219654336,11.460912477390114
0.19600000000000015,18.906160000000064,0.001247747497094387,26.02013335616987,-0.025400104035937454,0.01665160256191782,12.76526767407702,11.460653771572542
0.19700000000000015,19.002620000000064,0.0012078725931410905,26.035616332011834,-0.025532224787770008,0.016712583548287776,12.77187587563865,11.460395008429476
0.19800000000000015,19.099080000000065,0.0011674468627915768,26.051100849349297,-0.0256642117134106,0.016773351724804896,12.77848582732064,11.460136192513843
0.19900000000000015,19.195540000000065,0.001126469100721117,26.066586919873323,-0.025796063254709678,0.016833907293516467,12.785097532108363,11.459877328333949
0.20000000000000015,19.292000000000066,0.0010849380985322732,26.082074555273792,-0.025927777862614854,0.016894250452655375,12.791710992991185,11.45961842035392
0.20100000000000015,19.388460000000066,0.0010428526446410458,26.09756376723957,-0.02605935399704079,0.01695438139663713,12.798326212962515,11.459359472994137
0.20200000000000015,19.484920000000066,0.0010002115242200849,26.11305456745848,-0.026190790126774444,0.017014300316125157,12.804943195019831,11.459100490631684
0.20300000000000015,19.581380000000067,0.0009570135191240836,26.128546967617496,-0.026322084729357653,0.017074007398054283,12.811561942164722,11.458841477600746
0.20400000000000015,19.677840000000067,0.0009132574077935218,26.1440409794028,-0.026453236290980287,0.01713350282563912,12.818182457402951,11.45858243819307
0.20500000000000015,19.774300000000068,0.0008689419652007091,26.159536614499835,-0.026584243306370048,0.01719278677843648,12.824804743744455,11.458323376658356
0.20600000000000016,19.870760000000068,0.0008240659627372637,26.175033884593425,-0.026715104278691337,0.017251859432352495,12.831428804203416,11.458064297204686
0.20700000000000016,19.96722000000007,0.0007786281681746443,26.190532801367908,-0.026845817719436116,0.017310720959687595,12.838054641798278,11.457805203998934
0.20800000000000016,20.06368000000007,0.0007326273455559584,26.206033376507136,-0.026976382148305944,0.017369371529160814,12.844682259551796,11.457546101167164
0.20900000000000016,20.16014000000007,0.00068606225513973,26.221535621694628,-0.027106796093153307,0.017427811305942894,12.851311660491065,11.457286992795046
0.21000000000000016,20.25660000000007,0.0006389316533243483,26.23703954861361,-0.027237058089827626,0.017486040451687227,12.85794284764756,11.457027882928234
0.21100000000000016,20.35306000000007,0.0005912342925317726,26.25254516894719,-0.027367166682111976,0.017544059124546863,12.864575824057173,11.456768775572769
0.21200000000000016,20.44952000000007,0.0005429689211677857,26.268052494378374,-0.02749712042161062,0.017601867479215865,12.871210592760255,11.456509674695479
0.21300000000000016,20.54598000000007,0.000494134283536618,26.283561536590135,-0.027626917867654865,0.017659465666966218,12.877847156801623,11.456250584224343
0.21400000000000016,20.64244000000007,0.00044472911973347795,26.299072307265618,-0.027756557587213238,0.01771685383565217,12.884485519230626,11.455991508048868
0.21500000000000016,20.738900000000072,0.00039475216563705784,26.314584818088093,-0.02788603815478563,0.017774032129771467,12.891125683101178,11.455732450020498
0.21600000000000016,20.835360000000072,0.0003442021527381711,26.33009908074115,-0.02801535815231826,0.017831000690455318,12.897767651471767,11.45547341395294
0.21700000000000016,20.931820000000073,0.0002930778081365881,26.345615106908745,-0.028144516169104628,0.017887759655529363,12.904411427405513,11.455214403622584
0.21800000000000017,21.028280000000073,0.00024137785440836446,26.361132908275273,-0.028273510801707202,0.01794430915952846,12.911057013970192,11.454955422768803
0.21900000000000017,21.124740000000074,0.00018910100958419163,26.37665249652573,-0.02840234065386621,0.018000649333729,12.917704414238266,11.454696475094373
0.22000000000000017,21.221200000000074,0.00013624598702283164,26.39217388334572,-0.028531004336388,0.01805678030616941,12.92435363128693,11.454437564265792
0.22100000000000017,21.317660000000075,8.281149532179954e-05,26.4076970804216,-0.02865950046708332,0.01811270220167289,12.931004668198131,11.454178693913647
0.22200000000000017,21.414120000000075,2.8796238309758415e-05,26.42322209944057,-0.02878782767067478,0.018168415141894843,12.937657528058594,11.453919867632958
0.22300000000000017,21.510580000000076,-2.580108509531165e-05,26.438748952090734,-0.02891598457870892,0.01822391924534448,12.944312213959893,11.45366108898352
0.22400000000000017,21.607040000000076,-8.098178095589104e-05,26.45427765006123,-0.029043969829478766,0.01827921462739516,12.950968728998433,11.453402361490244
0.22500000000000017,21.703500000000076,-0.00013674716038836188,26.469808205042316,-0.029171782067925867,0.018334301400315875,12.957627076275514,11.453143688643507
0.22600000000000017,21.799960000000077,-0.0001930985396309537,26.485340628725428,-0.029299419945578387,0.018389179673310836,12.964287258897357,11.452885073899465
0.22700000000000017,21.896420000000077,-0.00025003724011718464,26.50087493280332,-0.029426882120454856,0.018443849552547905,12.970949279975136,11.452626520680386
0.22800000000000017,21.992880000000078,-0.00030756458860969893,26.516411128970127,-0.029554167256979902,0.01849831114115196,12.977613142625001,11.452368032375002
0.22900000000000018,22.089340000000078,-0.00036568191720420806,26.53194922892148,-0.02968127402593712,0.018552564539274626,12.984278849968122,11.452109612338791
0.23000000000000018,22.18580000000008,-0.0004243905634813694,26.54748924435459,-0.029808201104356224,0.018606609844080472,12.990946405130714,11.45185126389433
0.23100000000000018,22.28226000000008,-0.00048369187051866547,26.563031186968367,-0.029934947175453697,0.01866044714981272,12.997615811244074,11.451592990331587
0.23200000000000018,22.37872000000008,-0.0005435871870464459,26.578575068463465,-0.030061510928554636,0.018714076547770797,13.004287071444601,11.451334794908265
0.23300000000000018,22.47518000000008,-0.000604077867457864,26.59412090054239,-0.03018789105901648,0.01876749812637511,13.010960188873854,11.451076680850061
0.23400000000000018,22.57164000000008,-0.0006651652719116274,26.609668694909683,-0.030314086268160123,0.018820711971176858,13.017635166678543,11.450818651351025
0.23500000000000018,22.66810000000008,-0.0007268507664314194,26.625218463271867,-0.030440095263165434,0.01887371816488597,13.02431200801059,11.450560709573827
0.23600000000000018,22.76456000000008,-0.000789135722984724,26.640770217337693,-0.030565916757068545,0.018926516787383878,13.030990716027166,11.450302858650067
0.23700000000000018,22.86102000000008,-0.0008520215195543246,26.656323968818107,-0.030691549468624457,0.018979107915764484,13.03767129389069,11.450045101680576
0.23800000000000018,22.957480000000082,-0.0009155095402119673,26.67187972942648,-0.030816992122269182,0.019031491624343488,13.044353744768905,11.449787441735701
0.23900000000000018,23.053940000000082,-0.0009796011752102318,26.68743751087857,-0.030942243448040863,0.019083667984695414,13.051038071834865,11.449529881855597
0.24000000000000019,23.150400000000083,-0.001044297821066742,26.702997324892713,-0.0310673021815166,0.019135637065670466,13.057724278266994,11.449272425050513
0.2410000000000002,23.246860000000083,-0.001109600880653594,26.718559183189917,-0.03119216706373329,0.019187398933411003,13.064412367249114,11.449015074301087
0.2420000000000002,23.343320000000084,-0.0011755117632608059,26.734123097493878,-0.03131683684114267,0.0192389536513865,13.07110234197047,11.448757832558604
0.2430000000000002,23.439780000000084,-0.0012420318846854128,26.74968907953123,-0.03144131026553154,0.019290301280413105,13.07779420562576,11.448500702745292
0.2440000000000002,23.536240000000085,-0.001309162667296082,26.76525714103147,-0.031565586093947384,0.01934144187868581,13.084487961415192,11.448243687754587
0.2450000000000002,23.632700000000085,-0.001376905540176887,26.78082729372722,-0.031689663088660336,0.019392375501773054,13.091183612544476,11.447986790451413
0.2460000000000002,23.729160000000086,-0.0014452619391677746,26.796399549354206,-0.03181354001707659,0.01944310220266015,13.097881162224883,11.44773001367244
0.2470000000000002,23.825620000000086,-0.001514233306925683,26.81197391965143,-0.03193721565169272,0.019493622031777933,13.104580613673278,11.447473360226352
0.2480000000000002,23.922080000000086,-0.0015838210930311791,26.827550416361213,-0.03206068877001489,0.019543935037016808,13.111281970112145,11.447216832894128
0.2490000000000002,24.018540000000087,-0.0016540267541120812,26.843129051229404,-0.03218395815451741,0.01959404126374019,13.117985234769607,11.446960434429272
0.25000000000000017,24.115000000000087,-0.0017248517538625552,26.858709836005364,-0.03230702259257828,0.019643940754812298,13.124690410879484,11.446704167558096
0.25100000000000017,24.211460000000088,-0.0017962975631645728,26.87429278244213,-0.03242988087641685,0.019693633550630876,13.131397501681313,11.446448034979952
0.25200000000000017,24.307920000000088,-0.001868365660176008,26.889877902296497,-0.03255253180303397,0.019743119689127748,13.138106510420378,11.446192039367514
0.25300000000000017,24.40438000000009,-0.0019410575303706046,26.90546520732917,-0.03267497417413878,0.01979239920581505,13.144817440347747,11.445936183366994
0.25400000000000017,24.50084000000009,-0.0020143746666917983,26.921054709304805,-0.032797206796143286,0.019841472133782206,13.151530294720308,11.445680469598415
0.25500000000000017,24.59730000000009,-0.0020883185696043416,26.936646419992158,-0.03291922848005013,0.01989033850373614,13.1582450768008,11.445424900655834
0.25600000000000017,24.69376000000009,-0.0021628907471761827,26.952240351164157,-0.033041038041422,0.01993899834399922,13.164961789857845,11.445169479107594
0.2570000000000002,24.79022000000009,-0.002238092715135531,26.96783651459805,-0.03316263430032296,0.019987451680569205,13.171680437165982,11.444914207496591
0.2580000000000002,24.88668000000009,-0.002313925997063704,26.9834349220755,-0.03328401608127862,0.020035698537080794,13.178401022005707,11.444659088340428
0.2590000000000002,24.98314000000009,-0.002390392124348051,26.99903558538264,-0.03340518221320149,0.020083738934894478,13.185123547663505,11.44440412413175
0.2600000000000002,25.07960000000009,-0.002467492636358315,27.01463851631028,-0.033526131529338865,0.02013157289306251,13.191848017431877,11.444149317338399
0.2610000000000002,25.176060000000092,-0.002545229080505418,27.030243726653943,-0.033646862867239724,0.020179200428367412,13.19857443460938,11.443894670403692
0.2620000000000002,25.272520000000092,-0.002623603012328113,27.04585122821394,-0.03376737506869898,0.020226621555359144,13.205302802500675,11.443640185746602
0.2630000000000002,25.368980000000093,-0.0027026159955881868,27.06146103279565,-0.03388766697967854,0.020273836286341163,13.212033124416536,11.443385865762032
0.2640000000000002,25.465440000000093,-0.002782269602349341,27.077073152209394,-0.03400773745030933,0.0203208446314231,13.218765403673906,11.44313171282099
0.2650000000000002,25.561900000000094,-0.00286256541310026,27.092687598270743,-0.034127585334795374,0.02036764659851103,13.225499643595933,11.442877729270842
0.2660000000000002,25.658360000000094,-0.0029435050167905263,27.10830438280054,-0.03424720949139165,0.02041424219334565,13.232235847511992,11.44262391743551
0.2670000000000002,25.754820000000095,-0.003025090010956799,27.123923517624995,-0.03436660878233189,0.020460631419524634,13.23897401875773,11.442370279615691
0.2680000000000002,25.851280000000095,-0.003107322001812407,27.13954501457587,-0.03448578207382719,0.020506814278491894,13.24571416067511,11.442116818089074
0.2690000000000002,25.947740000000096,-0.0031902026043130194,27.155168885490543,-0.03460472823596167,0.020552790769598248,13.252456276612435,11.441863535110542
0.2700000000000002,26.044200000000096,-0.003273733442272553,27.17079514221212,-0.034723446142691405,0.02059856089009447,13.259200369924391,11.441610432912388
0.2710000000000002,26.140660000000096,-0.00335791614846237,27.18642379658959,-0.03484193467176672,0.020644124635150186,13.26594644397209,11.44135751370451
0.2720000000000002,26.237120000000097,-0.0034427523646464175,27.202054860477872,-0.03496019270471712,0.020689481997877165,13.272694502123088,11.441104779674635
0.2730000000000002,26.333580000000097,-0.003528243741732162,27.217688345738033,-0.03507821912679038,0.020734632969359137,13.27944454775146,11.440852232988485
0.2740000000000002,26.430040000000098,-0.0036143919398894386,27.23332426423729,-0.03519601282691592,0.020779577538629124,13.2861965842378,11.440599875790005
0.2750000000000002,26.526500000000098,-0.0037011986285354626,27.24896262784921,-0.03531357269764834,0.02082431569274789,13.292950614969293,11.440347710201562
0.2760000000000002,26.6229600000001,-0.0037886654865155744,27.264603448453826,-0.035430897635138514,0.02086884741677248,13.299706643339714,11.440095738324107
0.2770000000000002,26.7194200000001,-0.0038767942021808444,27.280246737937684,-0.03554798653909991,0.020913172693799005,13.306464672749518,11.439843962237404
0.2780000000000002,26.8158800000001,-0.0039655864734728374,27.295892508194072,-0.03566483831274253,0.020957291504958342,13.313224706605839,11.439592384000205
0.2790000000000002,26.9123400000001,-0.0040550440080165395,27.311540771123045,-0.03578145186276055,0.02100120382946876,13.319986748322552,11.439341005650423
0.2800000000000002,27.0088000000001,-0.004145168523206955,27.32719153863158,-0.0358978260992634,0.02104490964461674,13.326750801320308,11.439089829205365
0.2810000000000002,27.1052600000001,-0.004235961746331507,27.342844822633722,-0.036013959935754625,0.021088408925802625,13.333516869026568,11.438838856661846
0.2820000000000002,27.2017200000001,-0.004327425414645314,27.35850063505069,-0.036129852289097375,0.02113170164652092,13.340284954875656,11.438588089996447
0.2830000000000002,27.2981800000001,-0.00441956127547799,27.37415898781096,-0.03624550207946259,0.02117478777842826,13.3470550623088,11.438337531165637
0.2840000000000002,27.394640000000102,-0.004512371086315303,27.3898198928505,-0.03636090823029409,0.021217667291319818,13.353827194774166,11.43808718210598
0.2850000000000002,27.491100000000102,-0.004605856614935733,27.40548336211277,-0.03647606966829092,0.02126034015314705,13.360601355726907,11.437837044734302
0.2860000000000002,27.587560000000103,-0.004700019639439945,27.42114940754891,-0.03659098532334176,0.02130280633006445,13.367377548629207,11.437587120947875
0.2870000000000002,27.684020000000103,-0.004794861948407725,27.436818041117867,-0.03670565412850901,0.021345065786426424,13.374155776950328,11.437337412624569
0.2880000000000002,27.780480000000104,-0.004890385340975079,27.452489274786522,-0.03682007501997936,0.02138711848479313,13.380936044166637,11.437087921623052
0.2890000000000002,27.876940000000104,-0.004986591626957859,27.468163120529795,-0.03693424693704356,0.021428964385956668,13.387718353761667,11.436838649782937
0.2900000000000002,27.973400000000105,-0.005083482626882074,27.483839590330824,-0.03704816882204032,0.02147060344897137,13.394502709226163,11.436589598924963
0.2910000000000002,28.069860000000105,-0.005181060172189944,27.49951869618103,-0.03716183962036035,0.021512035631140708,13.401289114058113,11.436340770851128
0.2920000000000002,28.166320000000105,-0.00527932610523052,27.5152004500803,-0.03727525828036604,0.021553260888062836,13.40807757176281,11.436092167344903
0.2930000000000002,28.262780000000106,-0.005378282279446311,27.530884864037105,-0.037388423753404676,0.021594279173616324,13.414868085852898,11.435843790171365
0.2940000000000002,28.359240000000106,-0.005477930559424471,27.546571950068607,-0.03750133499374403,0.021635090440010094,13.421660659848389,11.435595641077336
0.2950000000000002,28.455700000000107,-0.005578272821024799,27.56226172020084,-0.03761399095853907,0.021675694637762963,13.428455297276752,11.435347721791594
0.2960000000000002,28.552160000000107,-0.005679310951459959,27.57795418646882,-0.037726390607826066,0.021716091715750875,13.435252001672943,11.435100034024982
0.2970000000000002,28.648620000000108,-0.005781046849450633,27.593649360916654,-0.03783853290448291,0.02175628162118859,13.442050776579444,11.43485257947058
0.2980000000000002,28.745080000000108,-0.005883482425246778,27.609347255597747,-0.037950416814178545,0.021796264299672238,13.44885162554632,11.434605359803868
0.2990000000000002,28.84154000000011,-0.005986619600795717,27.625047882574847,-0.038062041305363836,0.021836039695197044,13.455654552131271,11.434358376682852
0.3000000000000002,28.93800000000011,-0.0060904603098086985,27.64075125392028,-0.03817340534924174,0.021875607750140545,13.462459559899685,11.434111631748245
0.3010000000000002,29.03446000000011,-0.006195006497942024,27.65645738171601,-0.0382845079197317,0.021914968405308672,13.46926665242467,11.433865126623587
0.3020000000000002,29.13092000000011,-0.006300260122799717,27.67216627805383,-0.038395347993454954,0.0219541215999224,13.47607583328713,11.433618862915395
0.3030000000000002,29.22738000000011,-0.006406223154080459,27.68787795503549,-0.03850592454966867,0.021993067271677803,13.4828871060758,11.433372842213341
0.3040000000000002,29.32384000000011,-0.006512897573719978,27.7035924247728,-0.03861623657028912,0.02203180535670364,13.489700474387288,11.433127066090337
0.3050000000000002,29.42030000000011,-0.006620285375975921,27.719309699387857,-0.03872628303984321,0.022070335789610457,13.496515941826154,11.432881536102723
0.3060000000000002,29.51676000000011,-0.006728388567495802,27.735029791013105,-0.03883606294542091,0.022108658503494666,13.50333351200495,11.432636253790392
0.3070000000000002,29.613220000000112,-0.006837209167482039,27.750752711791556,-0.03894557527667564,0.022146773429967834,13.510153188544278,11.432391220676926
0.3080000000000002,29.709680000000112,-0.006946749207763836,27.76647847387683,-0.039054819025814536,0.02218468049915497,13.516974975072806,11.432146438269728
0.3090000000000002,29.806140000000113,-0.007057010732982594,27.78220708943344,-0.03916379318752855,0.022222379639680087,13.523798875227406,11.431901908060162
0.3100000000000002,29.902600000000113,-0.007167995800577698,27.797938570636823,-0.03927249675900962,0.022259870778750326,13.530624892653123,11.431657631523699
0.3110000000000002,29.999060000000114,-0.007279706480992576,27.81367292967356,-0.0393809287398828,0.02229715384210603,13.53745303100327,11.431413610120018
0.3120000000000002,30.095520000000114,-0.0073921448577624616,27.829410178741522,-0.0394890881322269,0.022334228754070387,13.544283293939493,11.431169845293171
0.3130000000000002,30.191980000000115,-0.007505313027608929,27.84515033004994,-0.039596973940550007,0.02237109543755173,13.55111568513181,11.430926338471671
0.3140000000000002,30.288440000000115,-0.0076192131005955455,27.860893395819694,-0.0397045851717015,0.022407753814030873,13.55795020825867,11.430683091068687
0.3150000000000002,30.384900000000115,-0.0077338472001847736,27.876639388283337,-0.03981192083495538,0.022444203803632476,13.564786867007026,11.43044010448208
0.3160000000000002,30.481360000000116,-0.00784921746339845,27.892388319685363,-0.03991897994189031,0.02248044532508298,13.571625665072368,11.430197380094604
0.3170000000000002,30.577820000000116,-0.007965326040903387,27.908140202282233,-0.040025761506437385,0.022516478295750375,13.578466606158806,11.429954919273975
0.3180000000000002,30.674280000000117,-0.008082175097169242,27.923895048342676,-0.04013226454481833,0.022552302631650957,13.585309693979111,11.42971272337304
0.31900000000000023,30.770740000000117,-0.008199766810537579,27.939652870147775,-0.04023848807554714,0.022587918247467947,13.592154932254811,11.429470793729852
0.32000000000000023,30.867200000000118,-0.008318103373359531,27.955413679991093,-0.04034443111941488,0.022623325056548172,13.599002324716196,11.429229131667817
0.32100000000000023,30.963660000000118,-0.008437186992112378,27.971177490178864,-0.04045009269943661,0.0226585229709387,13.60585187510243,11.428987738495813
