0,0,-0.224437,0.037626,0.431181
1,0.008333,-0.256574,0.037978,0.538625
2,0.016666,-0.256567,0.037977,0.538627
3,0.024999,-0.256564,0.037942,0.538619
4,0.033332,-0.256557,0.037981,0.538576
5,0.041665,-0.256587,0.038028,0.538588
6,0.049998,-0.256574,0.037937,0.538572
7,0.058331,-0.256556,0.037961,0.538581
8,0.066664,-0.256592,0.038029,0.538596
9,0.074997,-0.25658,0.038011,0.53859
10,0.08333,-0.256551,0.037928,0.538583
11,0.091663,-0.25647,0.037795,0.538549
12,0.099996,-0.256546,0.03795,0.53858
13,0.108329,-0.256537,0.037885,0.53857
14,0.116662,-0.25659,0.037965,0.538615
15,0.124995,-0.256562,0.037956,0.538624
16,0.133328,-0.256558,0.037998,0.538622
17,0.141661,-0.256573,0.038035,0.538616
18,0.149994,-0.256574,0.037985,0.538626
19,0.158327,-0.256545,0.037965,0.53862
20,0.166661,-0.256583,0.037992,0.538638
21,0.174994,-0.256593,0.037995,0.538662
22,0.183327,-0.256535,0.037889,0.538648
23,0.19166,-0.256604,0.038002,0.538646
24,0.199993,-0.256556,0.038005,0.53865
25,0.208326,-0.256575,0.037986,0.538628
26,0.216659,-0.256549,0.037955,0.538617
27,0.224992,-0.256544,0.037957,0.538604
28,0.233325,-0.256547,0.037923,0.538614
29,0.241658,-0.25656,0.038009,0.538602
30,0.249991,-0.256559,0.038003,0.538607
31,0.258324,-0.256558,0.037958,0.53861
32,0.266657,-0.256547,0.037944,0.538591
33,0.27499,-0.256591,0.037978,0.538602
34,0.283323,-0.256536,0.037895,0.538592
35,0.291656,-0.256519,0.037889,0.53859
36,0.299989,-0.256521,0.037839,0.538606
37,0.308322,-0.25655,0.037979,0.538634
38,0.316655,-0.25655,0.037946,0.538648
39,0.324988,-0.256535,0.037863,0.53861
40,0.333321,-0.256511,0.037848,0.538643
41,0.341654,-0.256506,0.037799,0.53864
42,0.349987,-0.256531,0.037848,0.538631
43,0.35832,-0.256493,0.037808,0.538593
44,0.366653,-0.256588,0.038038,0.538627
45,0.374986,-0.256568,0.037992,0.53861
46,0.383319,-0.256557,0.037939,0.538601
47,0.391652,-0.25654,0.037927,0.538593
48,0.399985,-0.256579,0.038021,0.538598
49,0.408318,-0.256585,0.037978,0.538607
50,0.416651,-0.256517,0.037887,0.538582
51,0.424984,-0.256565,0.03799,0.538597
52,0.433317,-0.256528,0.037892,0.538599
53,0.44165,-0.256495,0.037838,0.538604
54,0.449983,-0.256558,0.037975,0.538594
55,0.458316,-0.256564,0.037957,0.538591
56,0.466649,-0.256579,0.037978,0.538623
57,0.474982,-0.256565,0.03796,0.538631
58,0.483316,-0.256537,0.037852,0.538648
59,0.491649,-0.256576,0.038008,0.538647
60,0.499982,-0.256567,0.037983,0.538632
61,0.508315,-0.256561,0.038031,0.538637
62,0.516648,-0.256504,0.037803,0.538616
63,0.524981,-0.256519,0.037861,0.538621
64,0.533314,-0.256545,0.037951,0.538625
65,0.541647,-0.25652,0.037836,0.538589
66,0.54998,-0.256573,0.037975,0.538607
67,0.558313,-0.256527,0.037903,0.538587
68,0.566646,-0.256561,0.03796,0.538606
69,0.574979,-0.256572,0.037974,0.538597
70,0.583312,-0.256576,0.037963,0.538585
71,0.591645,-0.256528,0.037919,0.538604
72,0.599978,-0.256539,0.037915,0.538615
73,0.608311,-0.256512,0.037826,0.538598
74,0.616644,-0.256525,0.037859,0.53864
75,0.624977,-0.256567,0.037966,0.538659
76,0.63331,-0.256595,0.037981,0.538686
77,0.641643,-0.256568,0.037929,0.538686
78,0.649976,-0.256561,0.037909,0.538668
79,0.658309,-0.256533,0.037897,0.538645
80,0.666642,-0.256554,0.037919,0.538634
81,0.674975,-0.256551,0.037946,0.538614
82,0.683308,-0.256531,0.037855,0.538611
83,0.691641,-0.256536,0.03795,0.538578
84,0.699974,-0.256505,0.038009,0.538544
85,0.708307,-0.256548,0.038087,0.538519
86,0.71664,-0.256592,0.038167,0.538544
87,0.724973,-0.256542,0.038059,0.53855
88,0.733306,-0.256549,0.038134,0.538552
89,0.741639,-0.256584,0.038209,0.538576
90,0.749972,-0.256582,0.038233,0.538569
91,0.758305,-0.256602,0.038225,0.538648
92,0.766638,-0.256595,0.038254,0.538648
93,0.774971,-0.256585,0.038202,0.538675
94,0.783304,-0.256564,0.038194,0.538641
95,0.791637,-0.256599,0.038221,0.53866
96,0.799971,-0.2566,0.038258,0.53867
97,0.808304,-0.25658,0.038142,0.538651
98,0.816637,-0.256553,0.03817,0.538639
99,0.82497,-0.256577,0.038258,0.538596
100,0.833303,-0.256588,0.038229,0.538606
101,0.841636,-0.256511,0.038047,0.53856
102,0.849969,-0.25659,0.038164,0.538591
103,0.858302,-0.256579,0.038226,0.538546
104,0.866635,-0.256571,0.038155,0.53859
105,0.874968,-0.256613,0.038288,0.538583
106,0.883301,-0.25654,0.038103,0.538591
107,0.891634,-0.25656,0.038195,0.538564
108,0.899967,-0.25658,0.038216,0.538585
109,0.9083,-0.256557,0.038185,0.538568
110,0.916633,-0.256635,0.038304,0.538595
111,0.924966,-0.256593,0.038276,0.538594
112,0.933299,-0.256583,0.038139,0.538618
113,0.941632,-0.256584,0.038193,0.538624
114,0.949965,-0.256547,0.038158,0.538612
115,0.958298,-0.25658,0.038135,0.538623
116,0.966631,-0.256559,0.038155,0.53862
117,0.974964,-0.256582,0.038179,0.538643
118,0.983297,-0.256585,0.038284,0.538653
119,0.99163,-0.256553,0.038139,0.538646
120,0.999963,-0.256613,0.038216,0.538638
121,1.008296,-0.256554,0.03815,0.538632
122,1.016629,-0.256573,0.038161,0.538627
123,1.024962,-0.256602,0.038213,0.538612
124,1.033295,-0.256574,0.038133,0.538592
125,1.041628,-0.256592,0.038166,0.538585
126,1.049961,-0.256644,0.038318,0.538588
127,1.058294,-0.256572,0.038196,0.538573
128,1.066627,-0.256536,0.038061,0.538556
129,1.07496,-0.256575,0.038169,0.538586
130,1.083293,-0.256558,0.038137,0.538568
131,1.091626,-0.25656,0.038136,0.538568
132,1.099959,-0.256598,0.038193,0.538573
133,1.108292,-0.256582,0.03818,0.53858
134,1.116625,-0.256575,0.038128,0.538589
135,1.124959,-0.256597,0.03819,0.538598
136,1.133292,-0.256618,0.038215,0.53861
137,1.141625,-0.256587,0.038167,0.53862
138,1.149958,-0.256571,0.038113,0.53863
139,1.158291,-0.25651,0.038033,0.538645
140,1.166624,-0.256611,0.038189,0.538653
141,1.174957,-0.256562,0.03807,0.538628
142,1.18329,-0.256578,0.038177,0.538629
143,1.191623,-0.256566,0.038133,0.53861
144,1.199956,-0.256591,0.038188,0.538604
145,1.208289,-0.256626,0.038225,0.538614
146,1.216622,-0.25659,0.038205,0.538613
147,1.224955,-0.256565,0.038129,0.53861
148,1.233288,-0.25659,0.038158,0.538625
149,1.241621,-0.256566,0.03817,0.538586
150,1.249954,-0.256526,0.038058,0.538583
151,1.258287,-0.256593,0.038177,0.538591
152,1.26662,-0.256562,0.038111,0.53857
153,1.274953,-0.256582,0.038132,0.538608
154,1.283286,-0.256565,0.038118,0.538596
155,1.291619,-0.256541,0.038013,0.538599
156,1.299952,-0.256558,0.038063,0.538584
157,1.308285,-0.256547,0.038058,0.538572
158,1.316618,-0.256543,0.038105,0.53855
159,1.324951,-0.256556,0.038178,0.53858
160,1.333284,-0.256571,0.038115,0.538583
161,1.341617,-0.256534,0.038048,0.538585
162,1.34995,-0.256569,0.038124,0.538585
163,1.358283,-0.256588,0.038171,0.538566
164,1.366616,-0.256588,0.038142,0.5386
165,1.374949,-0.256616,0.038196,0.538575
166,1.383282,-0.256586,0.038156,0.538595
167,1.391615,-0.256555,0.038103,0.538583
168,1.399948,-0.256618,0.038222,0.538599
169,1.408281,-0.256503,0.03801,0.538579
170,1.416614,-0.256566,0.038075,0.5386
171,1.424947,-0.256566,0.03806,0.538609
172,1.43328,-0.256573,0.038107,0.538599
173,1.441614,-0.256516,0.037972,0.538618
174,1.449947,-0.256566,0.038103,0.538613
175,1.45828,-0.256603,0.03819,0.538622
176,1.466613,-0.256534,0.038099,0.53859
177,1.474946,-0.256597,0.038086,0.538606
178,1.483279,-0.256552,0.038023,0.538592
179,1.491612,-0.256598,0.038121,0.538637
180,1.499945,-0.256599,0.038151,0.538609
181,1.508278,-0.256544,0.03801,0.538604
182,1.516611,-0.256579,0.038132,0.538569
183,1.524944,-0.256553,0.038126,0.538543
184,1.533277,-0.256556,0.038092,0.538557
185,1.54161,-0.256592,0.038189,0.538557
186,1.549943,-0.256553,0.038058,0.538557
187,1.558276,-0.25658,0.038096,0.538565
188,1.566609,-0.256528,0.038019,0.538594
189,1.574942,-0.256576,0.038067,0.538627
190,1.583275,-0.256548,0.038031,0.53862
191,1.591608,-0.256522,0.038009,0.538609
192,1.599941,-0.256596,0.03817,0.538633
193,1.608274,-0.256569,0.038027,0.538605
