Time,Pressure1,Pressure2,Position_X,Position_Y,Position_Z,Angle
0.0,0,0,-2.498001805406602e-16,40.0,-1.1102230246251565e-16,0.0
0.01,0.09645999999999999,0.09645999999999999,1.5058980486010176e-05,39.993951451037276,-0.00033946424912512096,0.00030372782517121966
0.02,0.19291999999999998,0.19291999999999998,7.257977902373758e-05,39.987057546525165,-0.0008765065448950171,0.000573299405339116
0.03,0.28937999999999997,0.28937999999999997,0.00015237934501369232,39.9798183766694,-0.0014480733130719514,0.0007797474126915568
0.04,0.38583999999999996,0.38583999999999996,0.00025258524356329415,39.972174688832425,-0.0020361498421423985,0.0009486548816298526
0.05,0.48229999999999995,0.48229999999999995,0.0003761727395719394,39.96413236651385,-0.0026587683573943144,0.0010768283911745877
0.060000000000000005,0.5787599999999999,0.5787599999999999,0.0005239929332982729,39.955706050331486,-0.0033215931980515867,0.0011630348869191309
0.07,0.6752199999999999,0.6752199999999999,0.0006955049561247068,39.946909913190126,-0.004021105075152631,0.001208101626578309
0.08,0.7716799999999999,0.7716799999999999,0.0008900116009575715,39.937757972584535,-0.004752835126914823,0.0012131513013963083
0.09,0.8681399999999999,0.8681399999999999,0.001106931967372743,39.92826417071845,-0.005513508708418491,0.001179197661375662
0.09999999999999999,0.9645999999999999,0.9645999999999999,0.0013457059794064752,39.91844234784212,-0.0063004815570602,0.0011072559860481731
0.10999999999999999,1.06106,1.06106,0.001605726956106418,39.908306217576026,-0.00711122788534424,0.0009984224072937921
0.11999999999999998,1.1575199999999999,1.1575199999999999,0.001886339348686497,39.897869345862574,-0.007943257946691706,0.0008538677284468293
0.12999999999999998,1.2539799999999999,1.2539799999999999,0.002186853330968075,39.88714513216041,-0.008794168321576756,0.0006748094877837117
0.13999999999999999,1.3504399999999999,1.3504399999999999,0.0025065546515385534,39.87614679273399,-0.009661670231985942,0.00046249161993370657
0.15,1.4468999999999999,1.4468999999999999,0.0028447099752623023,39.86488734592622,-0.01054358987744941,0.0002181716023126445
0.16,1.5433599999999998,1.5433599999999998,0.003200571094109886,39.853379599251454,-0.01143786235083677,-5.688959298468653e-05
0.17,1.6398199999999998,1.6398199999999998,0.003573379113811559,39.84163613814707,-0.012342527373615964,-0.0003614364422599201
0.18000000000000002,1.7362799999999998,1.7362799999999998,0.0039623684826885636,39.829669316236355,-0.013255726445741134,-0.0006942266866904562
0.19000000000000003,1.8327399999999998,1.8327399999999998,0.004366770658686778,39.81749124696991,-0.014175700078148945,-0.0010540378813039379
0.20000000000000004,1.9291999999999998,1.9291999999999998,0.0047858173784677965,39.805113796521304,-0.015100784752164254,-0.0014396727363592014
0.21000000000000005,2.02566,2.02566,0.005218743563110986,39.792548577823936,-0.016029409717759457,-0.0018499634065864284
0.22000000000000006,2.12212,2.12212,0.005664789895144462,39.77980694564496,-0.01696009375172114,-0.0022837748717283567
0.23000000000000007,2.2185799999999998,2.2185799999999998,0.006123205091873807,39.76689999260224,-0.017891441924324125,-0.0027400075260954
0.24000000000000007,2.3150399999999998,2.3150399999999998,0.006593247896783741,39.75383854603961,-0.018822142391337282,-0.003217599084465162
0.25000000000000006,2.4114999999999998,2.4114999999999998,0.007074188810847079,39.74063316568348,-0.019750963223767348,-0.0037155258967561536
0.26000000000000006,2.5079599999999997,2.5079599999999997,0.007565311586056264,39.72729414201225,-0.020676749287429463,-0.004232803760361736
0.2700000000000001,2.6044199999999997,2.6044199999999997,0.008065914502566371,39.71383149527636,-0.021598419182651152,-0.004768488307182437
0.2800000000000001,2.7008799999999997,2.7008799999999997,0.008575311449928152,39.70025497511328,-0.02251496225119054,-0.005321675034658353
