130,0.09,0.1
130,0.09,0.2
130,0.1,0.3
130,0.1,0.4
130,0.13,0.5
130,0.11,0.61
130,0.11,0.71
130,0.11,0.81
130,0.13,0.91
131,0.11,1.01
131,0.1,1.11
131,0.1,1.21
131,0.11,1.31
131,0.1,1.41
131,0.09,1.51
131,0.09,1.62
131,0.1,1.72
131,0.1,1.82
131,0.1,1.92
132,0.09,2.02
132,0.09,2.12
132,0.09,2.22
132,0.09,2.32
132,0.09,2.42
132,0.08,2.53
132,0.07,2.63
132,0.07,2.73
132,0.08,2.83
132,0.08,2.93
133,0.08,3.03
133,0.06,3.13
133,0.05,3.23
133,0.06,3.33
133,0.04,3.43
133,0.04,3.54
133,0.05,3.64
133,0.05,3.74
133,0.04,3.84
133,0.06,3.94
134,0.07,4.04
134,0.07,4.14
134,0.06,4.24
134,0.06,4.34
134,0.07,4.45
134,0.06,4.55
134,0.05,4.65
134,0.06,4.75
134,0.03,4.85
134,0.04,4.95
135,0.03,5.05
135,0.03,5.15
135,0.03,5.25
135,0.02,5.35
135,0.02,5.46
135,0.02,5.56
135,0.03,5.66
135,0.04,5.76
135,0.04,5.86
136,0.03,5.96
136,0.03,6.06
136,0.02,6.16
136,0.01,6.26
136,0.01,6.36
136,0.02,6.47
136,0.03,6.57
136,0.03,6.67
136,0.02,6.77
136,0.01,6.87
137,0.01,6.97
137,0.01,7.07
137,0.03,7.17
137,0.03,7.27
137,0.02,7.38
137,0.02,7.48
137,0.01,7.58
137,0,7.68
137,0,7.78
137,0,7.88
138,-0.01,7.98
138,0,8.08
138,0,8.18
138,0.01,8.28
138,0.02,8.39
138,0.02,8.49
138,0.02,8.59
138,0.02,8.69
138,0.02,8.79
138,0.02,8.89
139,0.02,8.99
139,-0.01,9.09
139,-0.01,9.19
139,-0.01,9.3
139,-0.05,9.4
139,-0.04,9.5
139,-0.05,9.6
139,-0.02,9.7
139,-0.01,9.8
139,-0.02,9.9
140,-0.02,10
140,-0.02,10.1
140,-0.02,10.21
140,-0.02,10.31
140,-0.02,10.41
140,-0.02,10.51
140,-0.02,10.61
140,-0.03,10.71
140,-0.01,10.81
140,-0.01,10.91
141,-0.01,11.01
141,-0.01,11.11
141,-0.02,11.22
141,-0.01,11.32
141,-0.02,11.42
141,-0.03,11.52
141,-0.01,11.62
141,0,11.72
141,0.01,11.82
141,-0.01,11.92
142,0.03,12.02
142,0.27,12.13
142,0.78,12.23
142,1.2,12.33
142,1.49,12.43
142,1.62,12.53
142,1.58,12.63
142,1.55,12.73
142,1.5,12.83
142,1.47,12.93
143,1.43,13.03
143,1.41,13.14
143,1.38,13.24
143,1.34,13.34
143,1.3,13.44
143,1.27,13.54
143,1.25,13.64
143,1.24,13.74
143,1.21,13.84
143,1.19,13.94
144,1.16,14.05
144,1.16,14.15
144,1.14,14.25
144,1.13,14.35
144,1.11,14.45
144,1.05,14.55
144,1.04,14.65
144,1.02,14.75
144,1.02,14.85
144,1.01,14.95
145,1,15.06
145,0.99,15.16
145,0.98,15.26
145,0.92,15.36
145,0.91,15.46
145,0.97,15.56
145,1.18,15.66
145,1.4,15.76
145,1.56,15.86
146,1.56,15.97
146,1.54,16.07
146,1.49,16.17
146,1.47,16.27
146,1.44,16.37
146,1.39,16.47
146,1.37,16.57
146,1.36,16.67
146,1.33,16.77
146,1.3,16.87
147,1.26,16.97
147,1.27,17.08
147,1.24,17.18
147,1.21,17.28
147,1.17,17.38
147,1.14,17.48
147,1.12,17.58
147,1.11,17.68
147,1.11,17.78
147,1.18,17.88
148,1.37,17.99
148,1.55,18.09
148,1.66,18.19
148,1.65,18.29
148,1.64,18.39
148,1.61,18.49
148,1.56,18.59
148,1.53,18.69
148,1.49,18.79
148,1.46,18.89
149,1.43,19
149,1.41,19.1
149,1.38,19.2
149,1.38,19.3
149,1.37,19.4
149,1.36,19.5
149,1.33,19.6
149,1.3,19.7
149,1.28,19.8
149,1.27,19.91
150,1.25,20.01
150,1.25,20.11
150,1.22,20.21
150,1.21,20.31
150,1.19,20.41
150,1.19,20.51
150,1.22,20.61
150,1.39,20.71
150,1.6,20.81
150,1.74,20.92
151,1.75,21.02
151,1.7,21.12
151,1.67,21.22
151,1.63,21.32
151,1.59,21.42
151,1.56,21.52
151,1.57,21.62
151,1.53,21.72
151,1.49,21.83
151,1.45,21.93
152,1.43,22.03
152,1.41,22.13
152,1.43,22.23
152,1.4,22.33
152,1.37,22.43
152,1.34,22.53
152,1.36,22.63
152,1.42,22.73
152,1.58,22.84
152,1.72,22.94
153,1.8,23.04
153,1.76,23.14
153,1.73,23.24
153,1.69,23.34
153,1.64,23.44
153,1.63,23.54
153,1.63,23.64
153,1.6,23.75
153,1.54,23.85
153,1.5,23.95
154,1.47,24.05
154,1.45,24.15
154,1.46,24.25
154,1.43,24.35
154,1.41,24.45
154,1.39,24.55
154,1.39,24.65
154,1.34,24.76
154,1.31,24.86
154,1.3,24.96
155,1.28,25.06
155,1.31,25.16
155,1.42,25.26
155,1.63,25.36
155,1.78,25.46
155,1.89,25.56
155,1.89,25.67
155,1.85,25.77
155,1.81,25.87
155,1.76,25.97
156,1.73,26.07
156,1.7,26.17
156,1.68,26.27
156,1.64,26.37
156,1.62,26.47
156,1.57,26.57
156,1.55,26.68
156,1.55,26.78
156,1.52,26.88
157,1.48,26.98
157,1.45,27.08
157,1.43,27.18
157,1.44,27.28
157,1.57,27.38
157,1.75,27.48
157,1.92,27.59
157,1.98,27.69
157,1.93,27.79
157,1.9,27.89
158,1.87,27.99
158,1.82,28.09
158,1.79,28.19
158,1.75,28.29
158,1.73,28.39
158,1.7,28.5
158,1.66,28.6
158,1.63,28.7
158,1.62,28.8
158,1.62,28.9
159,1.6,29
159,1.56,29.1
159,1.57,29.2
159,1.55,29.3
159,1.59,29.4
159,1.69,29.51
159,1.85,29.61
159,1.99,29.71
159,2.04,29.81
159,2.02,29.91
160,1.97,30.01
160,1.93,30.11
160,1.89,30.21
160,1.87,30.31
160,1.85,30.42
160,1.8,30.52
160,1.76,30.62
160,1.74,30.72
160,1.72,30.82
160,1.69,30.92
161,1.66,31.02
161,1.63,31.12
161,1.64,31.22
161,1.61,31.32
161,1.59,31.43
161,1.56,31.53
161,1.54,31.63
161,1.52,31.73
161,1.56,31.83
161,1.74,31.93
162,1.91,32.03
162,2.08,32.13
162,2.17,32.23
162,2.14,32.34
162,2.07,32.44
162,2.04,32.54
162,2,32.64
162,1.97,32.74
162,1.94,32.84
162,1.9,32.94
163,1.87,33.04
163,1.82,33.14
163,1.79,33.25
163,1.78,33.35
163,1.75,33.45
163,1.72,33.55
163,1.71,33.65
163,1.7,33.75
163,1.65,33.85
163,1.63,33.95
164,1.62,34.05
164,1.61,34.15
164,1.59,34.26
164,1.58,34.36
164,1.57,34.46
164,1.56,34.56
164,1.58,34.66
164,1.56,34.76
164,1.56,34.86
164,1.7,34.96
165,1.89,35.06
165,2.09,35.17
165,2.23,35.27
165,2.34,35.37
165,2.34,35.47
165,2.31,35.57
165,2.25,35.67
165,2.2,35.77
165,2.16,35.87
165,2.13,35.97
166,2.12,36.07
166,2.1,36.18
166,2.04,36.28
166,1.99,36.38
166,1.96,36.48
166,1.92,36.58
166,1.94,36.68
166,1.91,36.78
166,1.88,36.88
166,1.82,36.98
167,1.85,37.09
167,1.82,37.19
167,1.8,37.29
167,1.79,37.39
167,1.76,37.49
167,1.71,37.59
167,1.71,37.69
167,1.7,37.79
167,1.69,37.89
168,1.68,37.99
168,1.66,38.1
168,1.67,38.2
168,1.67,38.3
168,1.68,38.4
168,1.74,38.5
168,1.94,38.6
168,2.14,38.7
168,2.32,38.8
168,2.47,38.9
169,2.55,39.01
169,2.55,39.11
169,2.49,39.21
169,2.44,39.31
169,2.4,39.41
169,2.36,39.51
169,2.32,39.61
169,2.27,39.71
169,2.21,39.81
169,2.18,39.91
170,2.13,40.02
170,2.09,40.12
170,2.05,40.22
170,2.02,40.32
170,1.98,40.42
170,1.95,40.52
170,1.93,40.62
170,1.89,40.72
170,1.89,40.82
170,1.86,40.93
171,1.83,41.03
171,1.8,41.13
171,1.82,41.23
171,1.8,41.33
171,1.78,41.43
171,1.78,41.53
171,1.85,41.63
171,2.08,41.73
171,2.3,41.83
171,2.48,41.94
172,2.58,42.04
172,2.69,42.14
172,2.8,42.24
172,2.88,42.34
172,2.9,42.44
172,2.84,42.54
172,2.8,42.64
172,2.73,42.74
172,2.67,42.85
172,2.58,42.95
173,2.54,43.05
173,2.5,43.15
173,2.47,43.25
173,2.42,43.35
173,2.37,43.45
173,2.31,43.55
173,2.31,43.65
173,2.25,43.75
173,2.19,43.86
173,2.16,43.96
174,2.11,44.06
174,2.07,44.16
174,2.02,44.26
174,2.02,44.36
174,2,44.46
174,1.97,44.56
174,1.99,44.66
174,1.96,44.77
174,1.94,44.87
174,2,44.97
175,2.17,45.07
175,2.39,45.17
175,2.58,45.27
175,2.77,45.37
175,2.87,45.47
175,2.98,45.57
175,3.08,45.67
175,3.19,45.78
175,3.26,45.88
175,3.32,45.98
176,3.32,46.08
176,3.25,46.18
176,3.17,46.28
176,3.1,46.38
176,3.04,46.48
176,2.96,46.58
176,2.9,46.69
176,2.83,46.79
176,2.79,46.89
176,2.73,46.99
177,2.66,47.09
177,2.58,47.19
177,2.52,47.29
177,2.48,47.39
177,2.43,47.49
177,2.38,47.59
177,2.34,47.7
177,2.32,47.8
177,2.28,47.9
178,2.22,48
178,2.18,48.1
178,2.14,48.2
178,2.12,48.3
178,2.1,48.4
178,2.08,48.5
178,2.11,48.61
178,2.24,48.71
178,2.44,48.81
178,2.63,48.91
179,2.84,49.01
179,2.98,49.11
179,3.14,49.21
179,3.26,49.31
179,3.35,49.41
179,3.44,49.51
179,3.55,49.62
179,3.63,49.72
179,3.7,49.82
179,3.77,49.92
180,3.84,50.02
180,3.91,50.12
180,3.96,50.22
180,4.03,50.32
180,4.08,50.42
180,4.14,50.53
180,4.19,50.63
180,4.25,50.73
180,4.31,50.83
180,4.4,50.93
181,4.44,51.03
181,4.48,51.13
181,4.53,51.23
181,4.58,51.33
181,4.63,51.43
181,4.67,51.54
181,4.73,51.64
181,4.77,51.74
181,4.83,51.84
181,4.87,51.94
182,4.92,52.04
182,4.95,52.14
182,4.99,52.24
182,5.01,52.34
182,5.06,52.45
182,5.12,52.55
182,5.2,52.65
182,5.24,52.75
182,5.26,52.85
182,5.31,52.95
183,5.35,53.05
183,5.39,53.15
183,5.44,53.25
183,5.49,53.35
183,5.55,53.46
183,5.59,53.56
183,5.63,53.66
183,5.65,53.76
183,5.69,53.86
183,5.72,53.96
184,5.72,54.06
184,5.75,54.16
184,5.8,54.26
184,5.85,54.37
184,5.88,54.47
184,5.89,54.57
184,5.93,54.67
184,5.95,54.77
184,5.96,54.87
184,5.98,54.97
185,6,55.07
185,6,55.17
185,6.04,55.27
185,6.05,55.38
185,6.05,55.48
185,6.08,55.58
185,6.11,55.68
185,6.13,55.78
185,6.13,55.88
185,6.15,55.98
186,6.16,56.08
186,6.16,56.18
186,6.17,56.29
186,6.18,56.39
186,6.18,56.49
186,6.2,56.59
186,6.2,56.69
186,6.21,56.79
186,6.2,56.89
186,6.21,56.99
187,6.21,57.09
187,6.21,57.19
187,6.21,57.29
187,6.21,57.4
187,6.21,57.5
187,6.21,57.6
187,6.23,57.7
187,6.23,57.8
187,6.23,57.9
187,6.23,58
188,6.23,58.1
188,6.24,58.21
188,6.25,58.31
188,6.26,58.41
188,6.25,58.51
188,6.25,58.61
188,6.26,58.71
188,6.26,58.81
188,6.27,58.91
189,6.27,59.01
189,6.27,59.11
189,6.27,59.22
189,6.27,59.32
189,6.27,59.42
189,6.27,59.52
189,6.27,59.62
189,6.29,59.72
189,6.29,59.82
189,6.28,59.92
190,6.28,60.02
190,6.26,60.13
190,6.28,60.23
190,6.28,60.33
190,6.29,60.43
190,6.27,60.53
190,6.27,60.63
190,6.26,60.73
190,6.27,60.83
190,6.27,60.93
191,6.28,61.03
191,6.29,61.13
191,6.29,61.24
191,6.28,61.34
191,6.27,61.44
