0,0,3.493104,38.863628,0.627167,0.005844,0.057224,0.298708,,0.057224,6.3E-05,0.057161
1,0.111019,3.493104,38.863628,0.627167,0.005844,0.057224,0.298708,,0.057224,6.3E-05,
2,0.222038,3.389607,38.868324,0.691755,0.005841,0.05721,0.29873,,0.05721,4.9E-05,
3,0.333056,3.473689,39.050117,0.672025,0.005997,0.05724,0.298762,,0.05724,7.9E-05,
4,0.444075,3.419491,38.874722,0.704191,0.00585,0.05724,0.298743,,0.05724,7.9E-05,
5,0.555094,3.408703,38.875919,0.73915,0.005839,0.057282,0.298736,,0.057282,0.000121,
6,0.666113,3.424371,38.872299,0.680986,0.005848,0.05724,0.298707,,0.05724,7.9E-05,
7,0.777131,3.424138,38.856819,0.712983,0.005843,0.057221,0.298719,,0.057221,6E-05,
8,0.88815,3.415313,38.884369,0.720616,0.005837,0.057237,0.298724,,0.057237,7.6E-05,
9,0.999169,3.444604,38.866669,0.695271,0.005832,0.057242,0.298733,,0.057242,8.1E-05,
10,1.110188,3.447089,38.874371,0.709455,0.005836,0.057236,0.298742,,0.057236,7.5E-05,
11,1.221206,3.457118,38.869598,0.663345,0.005842,0.057248,0.29873,,0.057248,8.7E-05,
12,1.332225,3.412215,38.864777,0.741419,0.005821,0.057262,0.298739,,0.057262,0.000101,
13,1.443244,3.500588,38.883942,0.659211,0.005848,0.057276,0.29871,,0.057276,0.000115,
14,1.554263,3.42931,38.871243,0.73088,0.005836,0.057244,0.298718,,0.057244,8.3E-05,
15,1.665281,3.379373,38.864117,0.726047,0.00584,0.057286,0.298705,,0.057286,0.000125,
16,1.7763,3.467533,39.061207,0.661638,0.005916,0.057238,0.29873,,0.057238,7.7E-05,
17,1.887319,3.441283,38.858856,0.666933,0.00585,0.057213,0.298733,,0.057213,5.2E-05,
18,1.998338,3.467647,38.867504,0.65725,0.005855,0.057235,0.298736,,0.057235,7.4E-05,
19,2.109357,3.524657,38.858784,0.587158,0.005837,0.057194,0.29873,,0.057194,3.3E-05,
20,2.220375,3.468301,38.843777,0.68039,0.005848,0.057264,0.298721,,0.057264,0.000103,
21,2.331394,3.467814,38.857235,0.73193,0.00584,0.057253,0.298698,,0.057253,9.2E-05,
22,2.442413,3.440556,38.861412,0.67397,0.005842,0.057229,0.298705,,0.057229,6.8E-05,
23,2.553432,3.544177,38.867302,0.663812,0.00585,0.057251,0.298728,,0.057251,9E-05,
24,2.66445,3.469666,38.8652,0.656881,0.005842,0.057213,0.298755,,0.057213,5.2E-05,
25,2.775469,3.532515,38.860836,0.640031,0.005868,0.057255,0.298741,,0.057255,9.4E-05,
26,2.886488,3.397349,38.854946,0.773435,0.00585,0.057245,0.298748,,0.057245,8.4E-05,
27,2.997507,3.445308,38.841415,0.738202,0.005833,0.057286,0.298724,,0.057286,0.000125,
28,3.108525,3.425196,38.863716,0.683407,0.005844,0.057256,0.298701,,0.057256,9.5E-05,
29,3.219544,3.444952,38.849785,0.694899,0.005829,0.057223,0.298741,,0.057223,6.2E-05,
30,3.330563,3.461881,38.860565,0.670832,0.005856,0.057229,0.298754,,0.057229,6.8E-05,
31,3.441582,3.451169,39.054173,0.64783,0.005921,0.057226,0.29876,,0.057226,6.5E-05,
32,3.5526,3.467035,39.057762,0.650909,0.005961,0.057228,0.298747,,0.057228,6.7E-05,
33,3.663619,3.493626,38.851475,0.644736,0.005852,0.057232,0.298712,,0.057232,7.1E-05,
34,3.774638,3.477843,38.870991,0.6445,0.005843,0.057249,0.298681,,0.057249,8.8E-05,
35,3.885657,3.441405,38.876003,0.677836,0.005846,0.057228,0.298682,,0.057228,6.7E-05,
36,3.996676,3.417404,38.857265,0.711222,0.005851,0.057236,0.29871,,0.057236,7.5E-05,
37,4.107694,3.442763,38.881069,0.750668,0.005851,0.05725,0.298712,,0.05725,8.9E-05,
38,4.218713,3.44454,38.861568,0.718863,0.005857,0.05727,0.298732,,0.05727,0.000109,
39,4.329732,3.427266,38.862103,0.687622,0.005842,0.057246,0.298727,,0.057246,8.5E-05,
40,4.440751,3.408895,38.849972,0.703052,0.005848,0.057253,0.29871,,0.057253,9.2E-05,
41,4.551769,3.422111,38.845703,0.705204,0.005851,0.057263,0.298707,,0.057263,0.000102,
42,4.662788,3.435909,38.857159,0.694711,0.00585,0.057224,0.298719,,0.057224,6.3E-05,
43,4.773807,3.445383,38.850601,0.684498,0.005844,0.057226,0.29874,,0.057226,6.5E-05,
44,4.884826,3.449534,38.871166,0.668921,0.005856,0.057239,0.298742,,0.057239,7.8E-05,
45,4.995844,3.469641,38.856178,0.687787,0.005851,0.057244,0.298753,,0.057244,8.3E-05,
46,5.106863,3.409686,38.837292,0.73336,0.005849,0.057243,0.298731,,0.057243,8.2E-05,
47,5.217882,3.424663,38.857281,0.718798,0.005845,0.05724,0.298724,,0.05724,7.9E-05,
48,5.328901,3.413159,38.861538,0.726793,0.005852,0.057256,0.298711,,0.057256,9.5E-05,
