0,0.000000,0.320070,-0.185227,0.084411,0.034339,0.045301,-1.056625
1,0.008333,0.323778,-0.185649,0.084131,0.034339,0.045300,-1.056624
2,0.016667,0.328068,-0.186643,0.085203,0.034339,0.045299,-1.056623
3,0.025000,0.333556,-0.187779,0.084743,0.034339,0.045298,-1.056623
4,0.033333,0.337235,-0.189015,0.082652,0.034340,0.045297,-1.056622
5,0.041667,0.340864,-0.190148,0.083202,0.034340,0.045295,-1.056621
6,0.050000,0.345139,-0.191329,0.083021,0.034340,0.045294,-1.056620
7,0.058333,0.348512,-0.191801,0.080169,0.034340,0.045293,-1.056619
8,0.066667,0.351016,-0.192685,0.079817,0.034340,0.045292,-1.056618
9,0.075000,0.353792,-0.193867,0.080618,0.034340,0.045290,-1.056618
10,0.083333,0.356842,-0.194245,0.081306,0.034340,0.045288,-1.056617
11,0.091667,0.360455,-0.195591,0.082822,0.034340,0.045287,-1.056616
12,0.100000,0.363629,-0.196396,0.082565,0.034340,0.045286,-1.056615
13,0.108333,0.366346,-0.197443,0.084041,0.034340,0.045285,-1.056614
14,0.116667,0.357437,-0.194784,0.085264,0.034340,0.045284,-1.056616
15,0.125000,0.360383,-0.195506,0.084953,0.034340,0.045283,-1.056615
16,0.133333,0.363704,-0.196785,0.084645,0.034340,0.045283,-1.056614
17,0.141667,0.368082,-0.197858,0.084451,0.034340,0.045282,-1.056613
18,0.150000,0.372053,-0.198980,0.085539,0.034340,0.045281,-1.056612
19,0.158333,0.375783,-0.200196,0.087013,0.034340,0.045280,-1.056611
20,0.166667,0.379721,-0.200554,0.086443,0.034340,0.045279,-1.056610
21,0.175000,0.383481,-0.201401,0.086054,0.034340,0.045279,-1.056609
22,0.183333,0.387117,-0.202303,0.085581,0.034340,0.045279,-1.056608
23,0.191667,0.389723,-0.202907,0.086755,0.034340,0.045277,-1.056607
24,0.200000,0.382091,-0.200244,0.086420,0.034340,0.045277,-1.056609
25,0.208333,0.384576,-0.200969,0.087918,0.034340,0.045276,-1.056608
26,0.216667,0.387279,-0.201058,0.087736,0.034340,0.045276,-1.056607
27,0.225000,0.390339,-0.201659,0.087116,0.034340,0.045275,-1.056606
