frame,time,rx,ry,rz,px,py,pz
80,0.666599,0.151525,-0.009016,-0.094639,-0.440598,0.063498,0.634776
81,0.674931,0.114726,0.002803,-0.182888,-0.440585,0.063477,0.634788
82,0.683264,0.059887,-0.016711,-0.156812,-0.440587,0.063464,0.634774
83,0.691596,0.055074,-0.009884,-0.206732,-0.440578,0.063434,0.634761
84,0.699929,0.155906,-0.002972,-0.14862,-0.440591,0.063468,0.634755
85,0.708261,-0.035003,-0.025991,-0.141077,-0.440591,0.063485,0.634734
86,0.716594,0.094243,-0.003042,-0.19025,-0.440558,0.063428,0.63473
87,0.724926,0.041936,-0.000435,-0.149987,-0.440593,0.063478,0.634718
88,0.733259,0.101155,-0.012278,-0.150676,-0.440556,0.063368,0.634745
89,0.741591,0.042273,-0.009217,-0.153293,-0.440608,0.063522,0.634753
90,0.749924,-0.029656,-0.00639,-0.232158,-0.440574,0.063457,0.634745
91,0.758256,0.005514,-0.019318,-0.160236,-0.440574,0.063452,0.634758
92,0.766589,0.119676,0.000213,-0.139792,-0.440561,0.063422,0.634745
93,0.774921,0.153696,-0.001652,-0.145183,-0.440575,0.063427,0.634736
94,0.783254,0.141589,-0.001707,-0.107576,-0.440587,0.063481,0.634731
95,0.791586,0.009176,-0.02302,-0.152511,-0.440578,0.063488,0.634744
96,0.799919,0.095864,-0.016007,-0.114657,-0.440589,0.063466,0.634773
97,0.808251,0.10745,-0.004252,-0.123063,-0.440572,0.063488,0.634741
98,0.816584,0.024285,-0.007837,-0.201457,-0.440595,0.063492,0.634766
99,0.824916,0.119284,-0.014562,-0.081619,-0.440594,0.063452,0.634757
100,0.833249,0.146951,0.005727,-0.153532,-0.440586,0.063485,0.634762
101,0.841581,0.078673,0.0014,-0.171118,-0.440585,0.063469,0.634756
102,0.849913,0.081624,-0.024269,-0.059485,-0.440595,0.063529,0.634711
103,0.858246,0.215845,0.007414,-0.079581,-0.440572,0.063454,0.634722
104,0.866578,0.095988,-0.010495,-0.148213,-0.440557,0.063362,0.634747
105,0.874911,0.142205,-0.001378,-0.09438,-0.440574,0.063468,0.634747
106,0.883243,0.135198,-0.002306,-0.171726,-0.440568,0.063493,0.634741
107,0.891576,0.107257,-0.006822,-0.132011,-0.440591,0.063509,0.634778
108,0.899908,0.195381,0.00623,-0.119946,-0.440559,0.063413,0.634742
109,0.908241,0.187599,0.00878,-0.090272,-0.440584,0.063453,0.634729
110,0.916573,0.166391,-0.005932,-0.08324,-0.440555,0.06346,0.634705
111,0.924906,0.170441,0.003111,-0.101935,-0.440584,0.06348,0.634713
112,0.933238,0.191852,0.003649,-0.098094,-0.440591,0.063513,0.634716
113,0.941571,0.086818,0.009465,-0.212861,-0.440585,0.06346,0.634716
114,0.949903,0.195869,0.007065,-0.164022,-0.440581,0.063431,0.63472
115,0.958236,0.076906,-0.006419,-0.13238,-0.440576,0.063428,0.634714
116,0.966568,0.088233,-0.017424,-0.139964,-0.440567,0.063435,0.634711
117,0.974901,0.19058,0.010637,-0.131867,-0.440597,0.063499,0.634734
118,0.983233,0.092025,0.002933,-0.164022,-0.44059,0.063478,0.634726
119,0.991566,0.108512,0.01317,-0.194785,-0.440554,0.063391,0.634705
120,0.999898,0.069743,-0.006141,-0.167041,-0.44057,0.063468,0.634724
