0,0,-0.222947,-0.033355,0.023811,-0.252336,0.047516,0.5517
1,0.008333,-0.176193,-0.043802,0.005965,-0.252242,0.047385,0.551596
2,0.016666,-0.088806,-0.01904,-0.008866,-0.252271,0.047458,0.551601
3,0.024999,0.038557,-0.00174,0.105817,-0.252277,0.047475,0.551606
4,0.033332,0.015148,-0.000298,-0.060332,-0.252302,0.047512,0.551607
5,0.041664,-0.005149,-0.019439,0.084297,-0.252277,0.047496,0.551623
6,0.049997,-0.112912,-0.016188,-0.002903,-0.2523,0.047559,0.551606
7,0.05833,0.01092,-0.020255,0.133712,-0.252315,0.047489,0.551619
8,0.066663,0.056569,-0.012756,0.021223,-0.252264,0.047419,0.551619
9,0.074996,0.088946,0.001828,0.041778,-0.252261,0.047426,0.551608
10,0.083329,0.00155,-0.002394,-0.022289,-0.252241,0.047367,0.551615
11,0.091662,-0.096212,-0.028698,0.033596,-0.252274,0.047489,0.55162
12,0.099995,-0.214915,-0.042197,0.009719,-0.25228,0.047475,0.5516
13,0.108327,-0.100709,-0.033474,-0.021375,-0.252257,0.047425,0.551611
14,0.11666,-0.107215,-0.031677,0.083456,-0.252274,0.04743,0.551621
15,0.124993,-0.025133,-0.014342,0.057501,-0.252253,0.047373,0.551621
16,0.133326,0.112419,-0.000461,0.080483,-0.252312,0.047553,0.551603
17,0.141659,-0.063035,-0.011495,-0.062649,-0.252283,0.047447,0.551611
18,0.149992,0.029481,-0.009883,0.025096,-0.252262,0.047468,0.551594
19,0.158325,-0.099123,-0.012369,-0.028023,-0.252276,0.047425,0.551594
20,0.166658,-0.053535,-0.028226,0.096469,-0.25227,0.047482,0.551595
21,0.174991,-0.082065,-0.032557,0.011714,-0.252304,0.047563,0.551603
22,0.183323,-0.112897,-0.034072,0.051334,-0.252247,0.047408,0.5516
23,0.191656,-0.083829,-0.015099,0.023044,-0.252222,0.047372,0.55158
24,0.199989,0.089734,-0.006667,0.105831,-0.252232,0.047356,0.551603
25,0.208322,-0.024315,-0.020943,0.099799,-0.252257,0.047447,0.551619
26,0.216655,-0.091118,-0.035951,0.109817,-0.252261,0.047431,0.551626
27,0.224988,-0.234895,-0.060596,0.08078,-0.252276,0.047479,0.551626
28,0.233321,-0.035353,0.005425,-0.004627,-0.252244,0.047444,0.551608
29,0.241654,-0.014909,-0.028971,0.106624,-0.252258,0.04744,0.551618
30,0.249986,-0.090851,-0.02796,0.071595,-0.252271,0.047476,0.551615
31,0.258319,-0.150141,-0.038323,0.068569,-0.252273,0.047423,0.551626
32,0.266652,0.078126,0.002857,0.133758,-0.25231,0.047527,0.551604
