Time,Pressure1,Pressure2,Position_X,Position_Y,Position_Z,Angle
0.07,0.38583999999999996,0.48229999999999984,0.09859321787718953,40.438189010460725,0.010579025397345898,-1.9036322464127
0.08,0.44095999999999996,0.5511999999999998,0.11306320329087624,40.49926457473975,0.012127381794936887,-2.166722857465578
0.09,0.49607999999999997,0.6200999999999998,0.12761229396978246,40.55996481042288,0.013680546510458469,-2.4276086112255775
0.09999999999999999,0.5511999999999999,0.6889999999999997,0.14223804575479043,40.62029119076209,0.015236528737388566,-2.6862956693792595
0.10999999999999999,0.6063199999999999,0.7578999999999997,0.1569473056157611,40.6802458029417,0.01679489982028526,-2.9428067804455464
0.11999999999999998,0.6614399999999998,0.8267999999999996,0.1717430174824387,40.73983060608789,0.018354290361192627,-3.197159497034828
0.12999999999999998,0.7165599999999998,0.8956999999999996,0.1866246124886537,40.79904745129064,0.019912373451628218,-3.449366630230866
0.13999999999999999,0.7716799999999997,0.9645999999999996,0.2015907747760157,40.857898231963205,0.021466313779687107,-3.699440680328255
0.15,0.8267999999999996,1.0334999999999996,0.2166405475174077,40.916384941522395,0.02301293065565424,-3.9473956080558414
0.16,0.8819199999999996,1.1023999999999996,0.2317732785752629,40.974509668875264,0.024548656349452025,-4.1932467146913375
0.17,0.9370399999999995,1.1712999999999996,0.2469883998975642,41.03227458718797,0.02606947122990222,-4.437010239898306
0.18000000000000002,0.9921599999999995,1.2401999999999995,0.26228536204726693,41.08968195311904,0.027570879090034195,-4.678703207381195
0.19000000000000003,1.0472799999999995,1.3090999999999995,0.27766366711282964,41.1467341129064,0.029047917497279307,-4.918343431711136
0.20000000000000004,1.1023999999999996,1.3779999999999994,0.2931229132248064,41.20343351017579,0.030495191397193033,-5.155949545476587
0.21000000000000005,1.1575199999999997,1.4468999999999994,0.3086628234995536,41.25978269353277,0.03190692768920511,-5.391541000504462
0.22000000000000006,1.2126399999999997,1.5157999999999994,0.3242832631395032,41.31578432356361,0.03327705263680347,-5.625138047494503
0.23000000000000007,1.2677599999999998,1.5846999999999993,0.33998425030314794,41.37144117890283,0.03459929251210947,-5.85676170242428
0.24000000000000007,1.3228799999999998,1.6535999999999993,0.3557659615225619,41.426756160768264,0.03586729484766249,-6.086433700901161
0.25000000000000006,1.378,1.7224999999999993,0.3716287303603092,41.48173229532537,0.03707476501005991,-6.314176438707484
0.26000000000000006,1.43312,1.7913999999999992,0.3875730384459264,41.53637273340073,0.038215610831407565,-6.540012897952365
0.2700000000000001,1.48824,1.8602999999999992,0.4035994991013117,41.59068074730554,0.03928408674978945,-6.763966560434777
