Time,Pressure1,Pressure2,Pressure3,Position_X,Position_Y,Position_Z,Angle
10.01999999999983,0,0,0,-7.308634076025333e-06,59.99995805450351,4.199456938192014e-06,1.4832849878818419e-06
10.02999999999983,0,0.055119999999999995,0.08957,0.0003448826239703523,60.00912267610869,-0.01233863264663948,0.010868717100913677
10.03999999999983,0,0.11023999999999999,0.17914,0.012916472726758235,60.01969867814473,-0.02880722187334983,0.007705111576729843
10.04999999999983,0,0.16535999999999998,0.26871,0.02936243141638417,60.02968333878598,-0.046224157075116734,-0.000942907524746716
10.05999999999983,0,0.22047999999999998,0.35828,0.04385943644613172,60.03955757329748,-0.06297002141662023,-0.007245798722050085
10.06999999999983,0,0.27559999999999996,0.44784999999999997,0.0553157096180419,60.04943289844966,-0.07879666943748564,-0.009715046732516802
10.07999999999983,0,0.33071999999999996,0.53742,0.06513291021690432,60.05930351635548,-0.09415520949791123,-0.010106537281870135
10.08999999999983,0,0.38583999999999996,0.62699,0.07484118880855398,60.06916670198103,-0.10950300760440645,-0.010345102638944892
10.09999999999983,0,0.44095999999999996,0.7165600000000001,0.08510940073179132,60.07902240813822,-0.12502326958987975,-0.01127912324218075
10.109999999999829,0,0.49607999999999997,0.8061300000000001,0.09587474357273629,60.08886985536104,-0.14068271602485005,-0.012839401591078521
10.119999999999829,0,0.5511999999999999,0.8957000000000002,0.1068278585873895,60.0987081888112,-0.15638477103447557,-0.014642084280356097
10.129999999999828,0,0.6063199999999999,0.9852700000000002,0.11774635259646193,60.10853689151979,-0.17206622189731657,-0.01640678167438576
10.139999999999828,0,0.6614399999999998,1.0748400000000002,0.12857177568528763,60.11835563214759,-0.18771393744448195,-0.01805660302199313
10.149999999999828,0,0.7165599999999998,1.1644100000000002,0.1393425457819428,60.12816407623697,-0.20334118288141212,-0.01963718854130869
10.159999999999828,0,0.7716799999999997,1.25398,0.15011142867992416,60.137961840026584,-0.2189628760511262,-0.021214171999600694
10.169999999999828,0,0.8267999999999996,1.34355,0.16090573562600305,60.147748524425445,-0.2345852712995431,-0.022822532411262465
10.179999999999827,0,0.8819199999999996,1.43312,0.17172709556034899,60.15752374811077,-0.25020723630960817,-0.024465215414585836
10.189999999999827,0,0.9370399999999995,1.5226899999999999,0.18256631508568252,60.16728715358433,-0.2658251149506036,-0.026131166621194232
10.199999999999827,0,0.9921599999999995,1.6122599999999998,0.19341524543440386,60.17703839753531,-0.28143603901987574,-0.027810195439019626
10.209999999999827,0,1.0472799999999995,1.7018299999999997,0.20427062312377986,60.18677714212143,-0.29703869821817,-0.029498045733401788
10.219999999999827,0,1.1023999999999996,1.7913999999999997,0.21513268614118186,60.19650305346642,-0.31263271142279253,-0.031194884908019034
10.229999999999826,0,1.1575199999999997,1.8809699999999996,0.2260026479715978,60.20621580475899,-0.3282178521531102,-0.03290221629196489
10.239999999999826,0,1.2126399999999997,1.9705399999999995,0.23688120539112217,60.21591507947679,-0.3437936769635763,-0.03462097943545057
10.249999999999826,0,1.2677599999999998,2.0601099999999994,0.2477682854508864,60.22560057264153,-0.3593595208146351,-0.03635117491151357
10.259999999999826,0,1.3228799999999998,2.1496799999999996,0.25866339252363435,60.235271990480996,-0.3749146301600145,-0.03809226255445745
10.269999999999825,0,1.378,2.2392499999999997,0.2695659763736367,60.24492904968447,-0.3904582690752086,-0.03984361578616813
10.279999999999825,0,1.43312,2.32882,0.2804755981377642,60.254571477008064,-0.4059897542294261,-0.04160473865850525
10.289999999999825,0,1.48824,2.41839,0.2913919288076572,60.26419900932058,-0.42150844421477124,-0.043375274173537724
10.299999999999825,0,1.54336,2.50796,0.3023146882227682,60.27381139384328,-0.4370137190254451,-0.04515493259626531
10.309999999999825,0,1.5984800000000001,2.5975300000000003,0.3132435972505978,60.28340838835001,-0.45250496826887115,-0.04694343130122729
10.319999999999824,0,1.6536000000000002,2.6871000000000005,0.32417836169623937,60.29298976124253,-0.4679815896736663,-0.0487404724119004
10.329999999999824,0,1.7087200000000002,2.7766700000000006,0.33511867660327,60.30255529152831,-0.4834429924584654,-0.05054574633103547
10.339999999999824,0,1.7638400000000003,2.866240000000001,0.3460642354203407,60.31210476875702,-0.4988886007831419,-0.05235894240992225
10.349999999999824,0,1.8189600000000004,2.955810000000001,0.3570147358130936,60.32163799295118,-0.5143178555044714,-0.054179756149217606
10.359999999999824,0,1.8740800000000004,3.045380000000001,0.3679698811136257,60.331154774537225,-0.5297302145464517,-0.05600789113558884
10.369999999999823,0,1.9292000000000005,3.1349500000000012,0.37892937949518146,60.34065493426942,-0.5451251527540997,-0.05784305802224574
10.379999999999823,0,1.9843200000000005,3.2245200000000014,0.38989294286673737,60.350138303138095,-0.5605021617974603,-0.05968497299478672
