Time,Goal_Desp,SPA_Pressure_calculated,Presion_experimental_kPa,YM,P1_Position_X,P1_Position_Y,P1_Position_Z,P2_Position_X,P2_Position_Y,P2_Position_Z
0.0,0.0,0.0,2.8402357996390528e-05,22000.0,-1.6653345369377348e-16,20.0,0.0,-5.551115123125783e-17,10.0,10.0
0.001,6.817840563659203e-07,0.00011467496553755726,0.00011360943198556211,22575.0,2.3315540498280996e-08,20.00000025735246,-4.478057924472978e-10,-1.8926309963696042e-08,9.999999360802214,10.000000043022393
0.002,3.084292746222306e-06,0.0001796034241676259,0.0002556164732034291,23092.5,5.0156512609866866e-08,20.000002429405768,1.5556380239534207e-08,-3.449357560691979e-08,10.000000219366743,9.999999851745294
0.003,6.63181237352693e-06,0.00023476223550860574,0.00045443772794224844,23558.25,9.051081489852564e-08,20.000005786960415,4.106621787069997e-08,-1.9261954531391012e-08,10.000001842841087,9.9999995005179
0.004,1.132926049658932e-05,0.00031827303315692544,0.0007100542011456775,23977.425,1.620336375074416e-07,20.000010197063,6.759061549344025e-08,2.609174204470932e-08,10.000003909435978,9.99999903826731
0.005,1.736320391017423e-05,0.00043332810970653685,0.0010225038829264016,24354.6825,2.7433876487181763e-07,20.000015837457365,9.249190635607363e-08,9.675034762235413e-08,10.000006506542393,9.999998452084071
0.006,2.45691314126277e-05,0.0005706179699315849,0.0013916728029463648,24694.21425,4.288686658582286e-07,20.000022578204657,1.1520373804918549e-07,1.9202583328992162e-07,10.0000096157534,9.999997749303176
0.007,3.306927132131867e-05,0.0007366726717173684,0.001817731916712651,24999.792825,6.250871687485393e-07,20.000030519776633,1.3632248085926335e-07,3.094424158023301e-07,10.00001326715868,9.999996920524282
0.008,4.278418602853296e-05,0.0009275621905729867,0.002300586248943547,25274.8135425,8.585698957341847e-07,20.000039597293014,1.5784932705376065e-07,4.462397888427283e-07,10.000017439460551,9.999995971740686
0.009000000000000001,5.376534556393191e-05,0.0011464603086545476,0.0028401408243573394,25522.332188250002,1.1246028527311935e-06,20.00004985193352,1.819506939004789e-07,5.987260188744514e-07,10.000022143202647,9.999994900844865
0.010000000000000002,6.597672646700684e-05,0.0013915595119278685,0.003436585593517454,25745.098969425002,1.4179468984520938e-06,20.00006125433432,2.1074769718243402e-07,7.644771118919813e-07,10.000027369241575,9.99999371140176
0.011000000000000003,7.943814665655509e-05,0.0016641498721223823,0.00408982558114218,25945.589072482504,1.7348349877766012e-06,20.000073820226785,2.4571055384781104e-07,9.421521585672998e-07,10.00003312153131,9.999992402994586
