pwm,psi,time
101,1.96,31.93
102,1.98,32.03
102,1.97,32.13
102,1.93,32.24
102,1.91,32.34
102,1.91,32.44
102,1.94,32.54
102,1.92,32.64
102,1.92,32.74
102,1.92,32.84
102,1.93,32.94
103,1.93,33.04
103,1.92,33.15
103,1.96,33.25
103,2.01,33.35
103,2.07,33.45
103,2.11,33.55
103,2.12,33.65
103,2.14,33.75
103,2.14,33.85
103,2.12,33.95
104,2.12,34.05
104,2.09,34.15
104,2.07,34.26
104,2.1,34.36
104,2.07,34.46
104,2.06,34.56
104,2.04,34.66
104,2.05,34.76
104,2.05,34.86
104,2.05,34.96
105,2.03,35.06
105,2.04,35.17
105,2.03,35.27
105,2.04,35.37
105,2.1,35.47
105,2.13,35.57
105,2.14,35.67
105,2.15,35.77
105,2.2,35.87
105,2.26,35.97
106,2.29,36.08
106,2.3,36.18
106,2.32,36.28
106,2.35,36.38
106,2.37,36.48
106,2.39,36.58
106,2.39,36.68
106,2.4,36.78
106,2.4,36.88
106,2.37,36.99
107,2.33,37.09
107,2.32,37.19
107,2.32,37.29
107,2.32,37.39
107,2.33,37.49
107,2.36,37.59
107,2.38,37.69
107,2.4,37.79
107,2.39,37.89
107,2.41,38
108,2.4,38.1
108,2.42,38.2
108,2.4,38.3
108,2.39,38.4
108,2.36,38.5
108,2.35,38.6
108,2.36,38.7
108,2.39,38.8
108,2.38,38.9
108,2.34,39.01
109,2.38,39.11
109,2.42,39.21
109,2.41,39.31
109,2.43,39.41
109,2.44,39.51
109,2.47,39.61
109,2.5,39.71
109,2.53,39.81
109,2.49,39.92
109,2.5,40.02
110,2.54,40.12
110,2.57,40.22
110,2.61,40.32
110,2.62,40.42
110,2.62,40.52
110,2.63,40.62
110,2.66,40.72
110,2.68,40.83
110,2.68,40.93
110,2.65,41.03
111,2.66,41.13
111,2.67,41.23
111,2.68,41.33
111,2.67,41.43
111,2.7,41.53
111,2.74,41.63
111,2.76,41.73
111,2.74,41.84
111,2.75,41.94
111,2.75,42.04
112,2.74,42.14
112,2.75,42.24
112,2.77,42.34
112,2.75,42.44
112,2.76,42.54
112,2.77,42.64
112,2.85,42.75
112,2.86,42.85
112,2.84,42.95
113,2.82,43.05
113,2.83,43.15
113,2.87,43.25
113,2.88,43.35
113,2.89,43.45
113,2.96,43.55
113,2.98,43.65
113,2.99,43.76
113,2.9,43.86
113,2.92,43.96
114,2.92,44.06
114,2.92,44.16
114,2.94,44.26
114,2.98,44.36
114,3.01,44.46
114,3,44.56
114,3,44.67
114,3.02,44.77
114,3.02,44.87
114,3.09,44.97
115,3.11,45.07
115,3.11,45.17
115,3.04,45.27
115,3.04,45.37
115,3.08,45.47
115,3.07,45.57
115,3.11,45.68
115,3.12,45.78
115,3.14,45.88
115,3.14,45.98
116,3.14,46.08
116,3.14,46.18
116,3.15,46.28
116,3.14,46.38
116,3.15,46.48
116,3.16,46.59
116,3.16,46.69
116,3.17,46.79
116,3.18,46.89
116,3.21,46.99
117,3.22,47.09
117,3.23,47.19
117,3.21,47.29
117,3.23,47.39
117,3.24,47.49
117,3.23,47.6
117,3.24,47.7
117,3.28,47.8
117,3.29,47.9
117,3.27,48
118,3.27,48.1
118,3.27,48.2
118,3.27,48.3
118,3.27,48.4
118,3.3,48.51
118,3.3,48.61
118,3.31,48.71
118,3.3,48.81
118,3.32,48.91
118,3.34,49.01
119,3.34,49.11
119,3.33,49.21
119,3.35,49.31
119,3.35,49.41
119,3.38,49.52
119,3.37,49.62
119,3.4,49.72
119,3.4,49.82
119,3.4,49.92
119,3.39,50.02
120,3.37,50.12
120,3.38,50.22
120,3.4,50.32
120,3.4,50.43
120,3.39,50.53
120,3.38,50.63
120,3.39,50.73
120,3.38,50.83
120,3.37,50.93
120,3.37,51.03
121,3.37,51.13
121,3.39,51.23
121,3.38,51.33
121,3.4,51.44
121,3.38,51.54
121,3.39,51.64
121,3.4,51.74
121,3.43,51.84
121,3.43,51.94
121,3.42,52.04
122,3.42,52.14
122,3.41,52.24
122,3.4,52.35
122,3.4,52.45
122,3.43,52.55
122,3.47,52.65
122,3.49,52.75
122,3.46,52.85
122,3.45,52.95
122,3.44,53.05
123,3.47,53.15
123,3.47,53.25
123,3.46,53.36
123,3.48,53.46
123,3.49,53.56
123,3.49,53.66
123,3.46,53.76
123,3.45,53.86
123,3.45,53.96
124,3.42,54.06
124,3.44,54.16
124,3.48,54.27
124,3.5,54.37
124,3.51,54.47
124,3.5,54.57
124,3.52,54.67
124,3.52,54.77
124,3.52,54.87
124,3.53,54.97
125,3.52,55.07
125,3.49,55.17
125,3.49,55.28
125,3.51,55.38
125,3.51,55.48
125,3.5,55.58
125,3.51,55.68
125,3.51,55.78
125,3.5,55.88
125,3.6,55.98
126,3.63,56.08
126,3.62,56.19
126,3.53,56.29
126,3.54,56.39
126,3.54,56.49
126,3.54,56.59
126,3.54,56.69
126,3.55,56.79
126,3.58,56.89
126,3.59,56.99
127,3.56,57.09
127,3.54,57.2
127,3.55,57.3
127,3.55,57.4
127,3.56,57.5
127,3.54,57.6
127,3.54,57.7
127,3.54,57.8
127,3.57,57.9
127,3.63,58
128,3.63,58.11
128,3.62,58.21
128,3.6,58.31
128,3.59,58.41
128,3.6,58.51
128,3.61,58.61
128,3.6,58.71
128,3.58,58.81
128,3.58,58.91
128,3.59,59.01
129,3.63,59.12
129,3.65,59.22
129,3.67,59.32
129,3.77,59.42
129,3.83,59.52
129,3.86,59.62
129,3.87,59.72
129,3.92,59.82
129,3.98,59.92
129,4.06,60.03
130,4.1,60.13
130,4.14,60.23
130,4.2,60.33
130,4.24,60.43
130,4.27,60.53
130,4.3,60.63
130,4.35,60.73
130,4.36,60.83
130,4.39,60.93
130,4.43,61.04
131,4.49,61.14
131,4.51,61.24
131,4.51,61.34
131,4.53,61.44
131,4.54,61.54
131,4.58,61.64
131,4.62,61.74
131,4.62,61.84
131,4.61,61.95
131,4.64,62.05
132,4.64,62.15
132,4.69,62.25
132,4.71,62.35
132,4.72,62.45
132,4.71,62.55
132,4.72,62.65
132,4.77,62.75
132,4.8,62.85
132,4.82,62.96
132,4.84,63.06
133,4.86,63.16
133,4.9,63.26
133,4.9,63.36
133,4.93,63.46
133,4.94,63.56
133,4.92,63.66
133,4.96,63.76
133,4.96,63.87
133,4.95,63.97
134,4.97,64.07
134,5,64.17
134,5.06,64.27
134,5.07,64.37
134,5.06,64.47
134,5.07,64.57
134,5.09,64.67
134,5.16,64.77
134,5.17,64.87
134,5.2,64.98
135,5.21,65.08
135,5.23,65.18
135,5.21,65.28
135,5.22,65.38
135,5.22,65.48
135,5.24,65.58
135,5.25,65.68
135,5.28,65.79
135,5.27,65.89
135,5.29,65.99
136,5.28,66.09
136,5.34,66.19
136,5.34,66.29
136,5.35,66.39
136,5.34,66.49
136,5.35,66.59
136,5.39,66.69
136,5.39,66.79
136,5.43,66.9
136,5.42,67
137,5.42,67.1
137,5.41,67.2
137,5.45,67.3
137,5.47,67.4
137,5.48,67.5
137,5.47,67.6
137,5.48,67.7
137,5.5,67.81
137,5.5,67.91
137,5.54,68.01
138,5.54,68.11
138,5.56,68.21
138,5.56,68.31
138,5.57,68.41
138,5.58,68.51
138,5.57,68.61
138,5.56,68.71
138,5.57,68.82
138,5.57,68.92
138,5.62,69.02
139,5.65,69.12
139,5.68,69.22
139,5.7,69.32
139,5.73,69.42
139,5.71,69.52
139,5.69,69.62
139,5.69,69.73
139,5.71,69.83
139,5.73,69.93
139,5.74,70.03
140,5.71,70.13
140,5.72,70.23
140,5.71,70.33
140,5.74,70.43
140,5.77,70.53
140,5.78,70.63
140,5.78,70.74
140,5.8,70.84
140,5.81,70.94
140,5.82,71.04
141,5.82,71.14
141,5.82,71.24
141,5.8,71.34
141,5.83,71.44
141,5.85,71.54
141,5.86,71.65
141,5.89,71.75
141,5.85,71.85
141,5.86,71.95
141,5.9,72.05
142,5.93,72.15
142,5.93,72.25
142,5.92,72.35
142,5.93,72.45
142,5.95,72.55
142,5.93,72.66
142,5.92,72.76
142,5.93,72.86
142,6,72.96
142,6.03,73.06
143,6.05,73.16
143,6.04,73.26
143,6.06,73.36
143,6.05,73.46
143,6.07,73.57
143,6.11,73.67
143,6.08,73.77
143,6.07,73.87
143,6.06,73.97
143,6.11,74.07
144,6.11,74.17
144,6.12,74.27
144,6.1,74.37
144,6.09,74.47
144,6.1,74.58
144,6.13,74.68
144,6.13,74.78
144,6.15,74.88
144,6.17,74.98
145,6.19,75.08
145,6.18,75.18
145,6.15,75.28
145,6.12,75.38
145,6.14,75.49
145,6.12,75.59
145,6.15,75.69
145,6.18,75.79
145,6.18,75.89
145,6.17,75.99
146,6.21,76.09
146,6.19,76.19
146,6.2,76.29
146,6.21,76.39
146,6.2,76.5
146,6.21,76.6
146,6.18,76.7
146,6.2,76.8
146,6.19,76.9
146,6.18,77
147,6.16,77.1
147,6.2,77.2
147,6.23,77.3
147,6.23,77.41
147,6.19,77.51
147,6.2,77.61
147,6.21,77.71
147,6.23,77.81
147,6.25,77.91
147,6.26,78.01
148,6.23,78.11
148,6.2,78.21
148,6.19,78.31
148,6.19,78.42
148,6.17,78.52
148,6.22,78.62
148,6.21,78.72
148,6.21,78.82
148,6.21,78.92
148,6.22,79.02
149,6.22,79.12
149,6.24,79.22
149,6.25,79.33
149,6.25,79.43
149,6.22,79.53
149,6.21,79.63
149,6.19,79.73
149,6.19,79.83
149,6.17,79.93
149,6.18,80.03
150,6.18,80.13
150,6.19,80.23
150,6.18,80.34
150,6.21,80.44
150,6.22,80.54
150,6.25,80.64
150,6.26,80.74
150,6.27,80.84
150,6.27,80.94
150,6.28,81.04
151,6.31,81.14
151,6.34,81.25
151,6.33,81.35
151,6.3,81.45
151,6.29,81.55
151,6.32,81.65
151,6.35,81.75
151,6.36,81.85
151,6.37,81.95
151,6.35,82.05
152,6.34,82.15
152,6.35,82.26
152,6.36,82.36
152,6.36,82.46
152,6.37,82.56
152,6.39,82.66
152,6.38,82.76
152,6.35,82.86
152,6.38,82.96
152,6.37,83.06
153,6.37,83.17
153,6.37,83.27
153,6.38,83.37
153,6.39,83.47
153,6.4,83.57
153,6.41,83.67
153,6.4,83.77
153,6.4,83.87
153,6.46,83.97
153,6.5,84.07
154,6.5,84.18
154,6.4,84.28
154,6.4,84.38
154,6.4,84.48
154,6.37,84.58
154,6.37,84.68
154,6.41,84.78
154,6.47,84.88
154,6.45,84.98
154,6.45,85.09
155,6.44,85.19
155,6.46,85.29
155,6.43,85.39
155,6.44,85.49
155,6.44,85.59
155,6.46,85.69
155,6.46,85.79
155,6.47,85.89
155,6.48,86
156,6.48,86.1
156,6.48,86.2
156,6.49,86.3
156,6.49,86.4
156,6.48,86.5
156,6.46,86.6
156,6.48,86.7
156,6.5,86.8
156,6.5,86.9
156,6.5,87.01
157,6.48,87.11
157,6.5,87.21
157,6.48,87.31
157,6.46,87.41
157,6.45,87.51
157,6.47,87.61
157,6.48,87.71
157,6.49,87.81
157,6.51,87.91
157,6.53,88.02
158,6.54,88.12
158,6.53,88.22
158,6.55,88.32
158,6.54,88.42
158,6.54,88.52
158,6.55,88.62
158,6.54,88.72
158,6.51,88.82
158,6.53,88.93
158,6.54,89.03
159,6.56,89.13
159,6.55,89.23
159,6.54,89.33
159,6.51,89.43
159,6.52,89.53
159,6.49,89.63
159,6.48,89.73
159,6.49,89.83
159,6.55,89.94
159,6.55,90.04
160,6.54,90.14
160,6.52,90.24
160,6.52,90.34
160,6.52,90.44
160,6.52,90.54
160,6.54,90.64
160,6.55,90.75
160,6.56,90.85
160,6.56,90.95
160,6.55,91.05
161,6.55,91.15
161,6.55,91.25
161,6.57,91.35
161,6.57,91.45
161,6.58,91.55
161,6.55,91.65
161,6.55,91.75
161,6.57,91.86
161,6.58,91.96
161,6.58,92.06
162,6.55,92.16
162,6.56,92.26
162,6.54,92.36
162,6.59,92.46
162,6.62,92.56
162,6.63,92.66
162,6.6,92.77
162,6.59,92.87
162,6.59,92.97
162,6.58,93.07
163,6.59,93.17
163,6.59,93.27
163,6.58,93.37
163,6.58,93.47
163,6.6,93.57
163,6.59,93.68
163,6.6,93.78
163,6.57,93.88
163,6.56,93.98
163,6.56,94.08
164,6.58,94.18
164,6.58,94.28
164,6.59,94.38
164,6.63,94.48
164,6.64,94.58
164,6.61,94.69
164,6.58,94.79
164,6.58,94.89
164,6.58,94.99
164,6.6,95.09
165,6.58,95.19
165,6.61,95.29
165,6.61,95.39
165,6.62,95.49
165,6.6,95.59
165,6.61,95.7
165,6.61,95.8
165,6.63,95.9
165,6.64,96
166,6.64,96.1
166,6.65,96.2
166,6.65,96.3
166,6.66,96.4
166,6.66,96.5
166,6.67,96.61
166,6.71,96.71
166,6.71,96.81
166,6.71,96.91
166,6.64,97.01
167,6.65,97.11
167,6.65,97.21
167,6.67,97.31
167,6.69,97.41
167,6.68,97.51
167,6.69,97.62
167,6.69,97.72
167,6.7,97.82
167,6.71,97.92
167,6.7,98.02
168,6.68,98.12
168,6.69,98.22
168,6.69,98.32
168,6.77,98.43
168,6.76,98.53
168,6.75,98.63
168,6.71,98.73
168,6.7,98.83
168,6.72,98.93
168,6.73,99.03
169,6.72,99.13
169,6.71,99.23
169,6.72,99.33
169,6.7,99.43
169,6.75,99.54
169,6.76,99.64
169,6.77,99.74
169,6.71,99.84
169,6.7,99.94
169,6.68,100.04
170,6.69,100.14
170,6.68,100.24
170,6.69,100.34
170,6.7,100.45
170,6.71,100.55
170,6.72,100.65
170,6.73,100.75
170,6.72,100.85
170,6.73,100.95
170,6.75,101.05
171,6.75,101.15
171,6.72,101.25
171,6.73,101.36
171,6.73,101.46
171,6.73,101.56
171,6.72,101.66
171,6.75,101.76
171,6.8,101.86
171,6.79,101.96
171,6.79,102.06
172,6.8,102.16
172,6.79,102.26
172,6.81,102.37
172,6.81,102.47
172,6.81,102.57
172,6.82,102.67
172,6.83,102.77
172,6.81,102.87
172,6.8,102.97
172,6.79,103.07
173,6.83,103.17
173,6.86,103.27
173,6.88,103.38
173,6.84,103.48
173,6.84,103.58
173,6.85,103.68
173,6.84,103.78
173,6.85,103.88
173,6.83,103.98
173,6.83,104.08
174,6.84,104.18
174,6.85,104.29
174,6.87,104.39
174,6.86,104.49
174,6.86,104.59
174,6.86,104.69
174,6.88,104.79
174,6.88,104.89
174,6.89,104.99
174,6.88,105.09
175,6.86,105.19
175,6.87,105.3
175,6.87,105.4
175,6.86,105.5
175,6.87,105.6
175,6.87,105.7
175,6.88,105.8
175,6.89,105.9
175,6.89,106
175,6.9,106.11
176,6.89,106.21
176,6.89,106.31
176,6.9,106.41
176,6.89,106.51
176,6.86,106.61
176,6.85,106.71
176,6.86,106.81
176,6.92,106.91
176,6.91,107.01
177,6.91,107.11
177,6.91,107.22
177,6.9,107.32
177,6.9,107.42
177,6.91,107.52
177,6.92,107.62
177,6.88,107.72
177,6.86,107.82
177,6.87,107.92
177,6.89,108.02
178,6.89,108.13
178,6.89,108.23
178,6.89,108.33
178,6.89,108.43
178,6.9,108.53
178,6.87,108.63
178,6.87,108.73
178,6.89,108.83
178,6.91,108.93
178,6.91,109.04
179,6.89,109.14
179,6.87,109.24
179,6.87,109.34
179,6.96,109.44
179,6.96,109.54
179,6.95,109.64
179,6.92,109.74
179,6.91,109.84
179,6.91,109.94
179,6.91,110.05
180,6.92,110.15
180,6.9,110.25
180,6.9,110.35
180,6.9,110.45
180,6.89,110.55
180,6.89,110.65
180,6.9,110.75
180,6.89,110.85
180,6.9,110.95
180,6.91,111.06
181,6.95,111.16
181,6.97,111.26
181,6.96,111.36
181,6.91,111.46
181,6.91,111.56
181,6.94,111.66
181,6.95,111.76
181,6.95,111.86
181,6.91,111.97
181,6.91,112.07
182,6.9,112.17
182,6.96,112.27
182,6.96,112.37
182,6.96,112.47
182,6.93,112.57
182,6.93,112.67
182,6.91,112.77
182,6.89,112.87
182,6.89,112.98
182,6.92,113.08
183,6.93,113.18
183,6.95,113.28
183,6.95,113.38
183,6.97,113.48
183,6.96,113.58
183,6.95,113.68
183,6.95,113.79
183,6.95,113.89
183,6.99,113.99
183,6.99,114.09
184,6.97,114.19
184,6.92,114.29
184,6.93,114.39
184,6.94,114.49
184,6.96,114.59
184,6.96,114.69
184,6.94,114.79
184,6.93,114.9
184,6.94,115
184,6.92,115.1
185,6.94,115.2
185,6.95,115.3
185,6.98,115.4
185,7,115.5
185,6.97,115.6
185,6.95,115.7
185,6.95,115.81
185,6.94,115.91
185,6.93,116.01
185,6.92,116.11
186,7.02,116.21
186,7.04,116.31
186,7.05,116.41
186,6.99,116.51
186,6.98,116.61
186,6.98,116.71
186,6.96,116.82
186,6.95,116.92
186,6.95,117.02
186,6.98,117.12
187,6.98,117.22
187,6.98,117.32
187,6.99,117.42
187,6.98,117.52
187,6.95,117.62
187,6.95,117.73
187,6.94,117.83
187,6.95,117.93
187,6.96,118.03
188,6.97,118.13
188,7,118.23
188,7,118.33
188,6.98,118.43
188,6.97,118.53
188,6.97,118.63
188,6.98,118.74
188,6.98,118.84
188,6.96,118.94
188,7,119.04
189,7,119.14
189,7.01,119.24
189,6.99,119.34
189,6.98,119.44
189,7,119.54
189,7.01,119.65
189,7.01,119.75
189,7.01,119.85
189,7.01,119.95
189,7.03,120.05
190,7.02,120.15
190,7,120.25
190,6.99,120.35
190,7,120.45
