pwm,psi,time
80,0.71,741.52
80,0.71,741.63
80,0.7,741.73
79,0.72,741.83
79,0.7,741.93
79,0.7,742.03
79,0.69,742.13
79,0.64,742.23
79,0.67,742.33
79,0.68,742.43
79,0.65,742.53
79,0.66,742.64
79,0.65,742.74
78,0.64,742.84
78,0.62,742.94
78,0.6,743.04
78,0.59,743.14
78,0.57,743.24
78,0.56,743.34
78,0.56,743.44
78,0.56,743.54
78,0.55,743.65
78,0.56,743.75
77,0.56,743.85
77,0.56,743.95
77,0.53,744.05
77,0.54,744.15
77,0.52,744.25
77,0.55,744.35
77,0.54,744.45
77,0.53,744.55
77,0.5,744.66
77,0.48,744.76
76,0.47,744.86
76,0.47,744.96
76,0.46,745.06
76,0.44,745.16
76,0.44,745.26
76,0.43,745.36
76,0.47,745.47
76,0.48,745.57
76,0.46,745.67
75,0.46,745.77
75,0.46,745.87
75,0.46,745.97
75,0.45,746.07
75,0.45,746.17
75,0.44,746.27
75,0.43,746.37
75,0.42,746.47
75,0.42,746.58
75,0.42,746.68
74,0.44,746.78
74,0.42,746.88
74,0.42,746.98
74,0.43,747.08
74,0.41,747.18
74,0.41,747.28
74,0.4,747.39
74,0.4,747.49
74,0.38,747.59
74,0.36,747.69
73,0.32,747.79
73,0.32,747.89
73,0.33,747.99
73,0.35,748.09
73,0.35,748.19
73,0.36,748.29
73,0.35,748.4
73,0.36,748.5
73,0.35,748.6
73,0.34,748.7
72,0.33,748.8
72,0.32,748.9
72,0.33,749
72,0.31,749.1
72,0.31,749.2
72,0.28,749.3
72,0.29,749.41
72,0.31,749.51
72,0.31,749.61
72,0.28,749.71
71,0.27,749.81
71,0.27,749.91
71,0.28,750.01
71,0.25,750.11
71,0.24,750.21
71,0.22,750.32
71,0.24,750.42
71,0.26,750.52
71,0.28,750.62
71,0.26,750.72
70,0.26,750.82
70,0.28,750.92
70,0.27,751.02
70,0.28,751.12
70,0.27,751.22
70,0.27,751.33
70,0.26,751.43
70,0.28,751.53
70,0.26,751.63
70,0.24,751.73
71,0.23,751.83
71,0.23,751.93
71,0.21,752.03
71,0.2,752.13
71,0.21,752.23
71,0.22,752.34
71,0.22,752.44
71,0.2,752.54
71,0.19,752.64
71,0.2,752.74
72,0.2,752.84
72,0.21,752.94
72,0.21,753.04
72,0.2,753.15
72,0.21,753.25
72,0.2,753.35
72,0.22,753.45
72,0.21,753.55
72,0.23,753.65
72,0.23,753.75
73,0.23,753.85
73,0.19,753.95
73,0.19,754.05
73,0.17,754.16
73,0.12,754.26
73,0.12,754.36
73,0.12,754.46
73,0.11,754.56
73,0.13,754.66
73,0.15,754.76
74,0.15,754.86
74,0.15,754.96
74,0.15,755.07
74,0.14,755.17
74,0.14,755.27
74,0.18,755.37
74,0.19,755.47
74,0.17,755.57
74,0.14,755.67
74,0.15,755.77
75,0.16,755.87
75,0.18,755.97
75,0.16,756.08
75,0.13,756.18
75,0.11,756.28
75,0.13,756.38
75,0.12,756.48
75,0.13,756.58
75,0.12,756.68
76,0.15,756.78
76,0.14,756.88
76,0.13,756.98
76,0.11,757.09
76,0.12,757.19
76,0.14,757.29
76,0.2,757.39
76,0.21,757.49
76,0.17,757.59
76,0.13,757.69
77,0.12,757.79
77,0.11,757.89
77,0.12,758
77,0.11,758.1
77,0.16,758.2
77,0.18,758.3
77,0.17,758.4
77,0.09,758.5
77,0.1,758.6
77,0.11,758.7
78,0.17,758.8
78,0.17,758.91
78,0.12,759.01
78,0.07,759.11
78,0.05,759.21
78,0.09,759.31
78,0.1,759.41
78,0.1,759.51
78,0.1,759.61
78,0.1,759.71
79,0.1,759.81
79,0.08,759.91
79,0.09,760.02
79,0.09,760.12
79,0.1,760.22
79,0.1,760.32
79,0.09,760.42
79,0.07,760.52
79,0.08,760.62
79,0.06,760.72
80,0.06,760.83
80,0.05,760.93
80,0.08,761.03
80,0.08,761.13
80,0.08,761.23
80,0.05,761.33
80,0.04,761.43
80,0.05,761.53
80,0.06,761.63
80,0.07,761.73
81,0.05,761.84
81,0.02,761.94
81,0.01,762.04
81,0.05,762.14
81,0.09,762.24
81,0.08,762.34
81,0.09,762.44
81,0.1,762.54
81,0.1,762.64
81,0.09,762.75
82,0.09,762.85
82,0.09,762.95
82,0.06,763.05
82,0.06,763.15
82,0.08,763.25
82,0.06,763.35
82,0.06,763.45
82,0.01,763.55
82,-0.01,763.65
82,-0.01,763.76
83,0.07,763.86
83,0.08,763.96
83,0.08,764.06
83,0.09,764.16
83,0.08,764.26
83,0.07,764.36
83,0.05,764.46
83,0.06,764.56
83,0.06,764.66
83,0.04,764.77
84,0.05,764.87
84,0.03,764.97
84,0.02,765.07
84,0.01,765.17
84,0.08,765.27
84,0.08,765.37
84,0.07,765.47
84,0.03,765.57
84,0.04,765.67
84,0.03,765.78
85,0.06,765.88
85,0.03,765.98
85,0.02,766.08
85,0.02,766.18
85,0.02,766.28
85,0.03,766.38
85,0.04,766.48
85,0.02,766.59
85,0.05,766.69
86,0.05,766.79
86,0.03,766.89
86,-0.01,766.99
86,0,767.09
86,-0.01,767.19
86,-0.01,767.29
86,-0.02,767.39
86,-0.02,767.49
86,-0.01,767.59
86,-0.02,767.7
87,0,767.8
87,0.02,767.9
87,0,768
87,-0.01,768.1
87,0,768.2
87,-0.01,768.3
87,0.02,768.4
87,0.02,768.51
87,0.02,768.61
87,0.06,768.71
88,0.04,768.81
88,0.03,768.91
88,0.01,769.01
88,0.01,769.11
88,0.06,769.21
88,0.06,769.31
88,0.07,769.41
88,0.07,769.52
88,0.06,769.62
88,0.05,769.72
89,0.01,769.82
89,0.15,769.92
89,0.32,770.02
89,0.53,770.12
89,0.68,770.22
89,0.81,770.32
89,0.9,770.42
89,0.98,770.53
89,1.04,770.63
89,1.08,770.73
90,1.1,770.83
90,1.16,770.93
90,1.18,771.03
90,1.18,771.13
90,1.18,771.23
90,1.18,771.33
90,1.18,771.44
90,1.19,771.54
90,1.2,771.64
90,1.18,771.74
91,1.18,771.84
91,1.19,771.94
91,1.24,772.04
91,1.27,772.14
91,1.28,772.24
91,1.28,772.34
91,1.27,772.45
91,1.28,772.55
91,1.28,772.65
91,1.29,772.75
92,1.26,772.85
92,1.25,772.95
92,1.26,773.05
92,1.29,773.15
92,1.3,773.25
92,1.3,773.35
92,1.33,773.46
92,1.35,773.56
92,1.35,773.66
92,1.29,773.76
93,1.3,773.86
93,1.3,773.96
93,1.32,774.06
93,1.33,774.16
93,1.34,774.27
93,1.33,774.37
93,1.32,774.47
93,1.33,774.57
93,1.33,774.67
93,1.35,774.77
94,1.33,774.87
94,1.34,774.97
94,1.35,775.07
94,1.4,775.17
94,1.4,775.28
94,1.41,775.38
94,1.39,775.48
94,1.38,775.58
94,1.4,775.68
94,1.4,775.78
95,1.41,775.88
95,1.43,775.98
95,1.42,776.08
95,1.45,776.19
95,1.45,776.29
95,1.48,776.39
95,1.49,776.49
95,1.45,776.59
95,1.45,776.69
95,1.45,776.79
96,1.44,776.89
96,1.47,776.99
96,1.45,777.09
96,1.43,777.2
96,1.44,777.3
96,1.46,777.4
96,1.45,777.5
96,1.46,777.6
96,1.46,777.7
97,1.44,777.8
97,1.44,777.9
97,1.46,778
97,1.5,778.1
97,1.52,778.21
97,1.52,778.31
97,1.53,778.41
97,1.54,778.51
97,1.54,778.61
97,1.54,778.71
98,1.53,778.81
98,1.51,778.91
98,1.52,779.01
98,1.55,779.11
98,1.56,779.22
98,1.57,779.32
98,1.56,779.42
98,1.56,779.52
98,1.57,779.62
98,1.56,779.72
99,1.56,779.82
99,1.55,779.92
99,1.55,780.03
99,1.57,780.13
99,1.59,780.23
99,1.62,780.33
99,1.63,780.43
99,1.63,780.53
99,1.62,780.63
99,1.62,780.73
100,1.65,780.83
100,1.65,780.93
100,1.66,781.03
100,1.67,781.14
100,1.67,781.24
100,1.68,781.34
100,1.7,781.44
100,1.72,781.54
100,1.68,781.64
100,1.69,781.74
101,1.69,781.84
101,1.69,781.95
101,1.71,782.05
101,1.72,782.15
101,1.72,782.25
101,1.72,782.35
101,1.73,782.45
101,1.76,782.55
101,1.75,782.65
101,1.71,782.75
102,1.7,782.85
102,1.7,782.96
102,1.74,783.06
102,1.79,783.16
102,1.79,783.26
102,1.81,783.36
102,1.81,783.46
102,1.81,783.56
102,1.85,783.66
102,1.83,783.76
103,1.84,783.86
103,1.84,783.97
103,1.84,784.07
103,1.81,784.17
103,1.81,784.27
103,1.82,784.37
103,1.82,784.47
103,1.85,784.57
103,1.88,784.67
103,1.9,784.77
104,1.92,784.88
104,1.93,784.98
104,1.95,785.08
104,1.96,785.18
104,2,785.28
104,2.02,785.38
104,2.04,785.48
104,2.04,785.58
104,2.05,785.68
104,2.02,785.78
105,2,785.89
105,1.95,785.99
105,1.94,786.09
105,1.98,786.19
105,2.01,786.29
105,2.03,786.39
105,2.06,786.49
105,2.06,786.59
105,2.06,786.69
105,2.04,786.79
106,2.02,786.9
106,2.01,787
106,2.01,787.1
106,2.01,787.2
106,2.02,787.3
106,2.03,787.4
106,2.05,787.5
106,2.14,787.6
106,2.16,787.71
106,2.15,787.81
107,2.1,787.91
107,2.1,788.01
107,2.11,788.11
107,2.09,788.21
107,2.08,788.31
107,2.06,788.41
107,2.1,788.51
107,2.1,788.61
107,2.09,788.72
108,2.08,788.82
108,2.1,788.92
108,2.12,789.02
108,2.15,789.12
108,2.17,789.22
108,2.2,789.32
108,2.22,789.42
108,2.25,789.52
108,2.25,789.63
108,2.29,789.73
109,2.29,789.83
109,2.32,789.93
109,2.35,790.03
109,2.34,790.13
109,2.35,790.23
109,2.36,790.33
109,2.41,790.43
109,2.43,790.53
109,2.42,790.64
109,2.41,790.74
110,2.42,790.84
110,2.42,790.94
110,2.43,791.04
110,2.44,791.14
110,2.47,791.24
110,2.46,791.34
110,2.48,791.44
110,2.47,791.54
110,2.44,791.65
110,2.42,791.75
111,2.43,791.85
111,2.39,791.95
111,2.4,792.05
111,2.43,792.15
111,2.44,792.25
111,2.48,792.35
111,2.5,792.45
111,2.52,792.55
111,2.53,792.66
111,2.53,792.76
112,2.53,792.86
112,2.58,792.96
112,2.61,793.06
112,2.63,793.16
112,2.59,793.26
112,2.6,793.36
112,2.6,793.47
112,2.63,793.57
112,2.63,793.67
112,2.65,793.77
113,2.66,793.87
113,2.66,793.97
113,2.67,794.07
113,2.66,794.17
113,2.67,794.27
113,2.71,794.37
113,2.72,794.47
113,2.73,794.58
113,2.77,794.68
113,2.77,794.78
114,2.77,794.88
114,2.77,794.98
114,2.79,795.08
114,2.8,795.18
114,2.89,795.28
114,2.9,795.39
114,2.89,795.49
114,2.89,795.59
114,2.89,795.69
114,2.9,795.79
115,2.91,795.89
115,2.91,795.99
115,2.89,796.09
115,2.88,796.19
115,2.9,796.29
115,2.91,796.4
115,2.93,796.5
115,2.91,796.6
115,2.9,796.7
115,2.92,796.8
116,2.95,796.9
116,3.02,797
116,3.02,797.1
116,3.02,797.2
116,3.04,797.3
116,3.03,797.41
116,3.04,797.51
116,3.05,797.61
116,3.05,797.71
116,3.04,797.81
117,3.06,797.91
117,3.09,798.01
117,3.08,798.11
117,3.1,798.21
117,3.1,798.32
117,3.13,798.42
117,3.14,798.52
117,3.14,798.62
117,3.12,798.72
118,3.14,798.82
118,3.17,798.92
118,3.19,799.02
118,3.19,799.12
118,3.18,799.22
118,3.19,799.33
118,3.18,799.43
118,3.2,799.53
118,3.2,799.63
118,3.23,799.73
119,3.25,799.83
119,3.27,799.93
119,3.24,800.03
119,3.24,800.13
119,3.25,800.23
119,3.25,800.34
119,3.25,800.44
119,3.27,800.54
119,3.26,800.64
119,3.25,800.74
120,3.26,800.84
120,3.28,800.94
120,3.28,801.04
120,3.29,801.15
120,3.3,801.25
120,3.31,801.35
120,3.31,801.45
120,3.32,801.55
120,3.31,801.65
120,3.29,801.75
121,3.3,801.85
121,3.31,801.95
121,3.39,802.05
121,3.4,802.16
121,3.38,802.26
121,3.37,802.36
121,3.36,802.46
121,3.35,802.56
121,3.32,802.66
121,3.34,802.76
122,3.34,802.86
122,3.35,802.96
122,3.36,803.07
122,3.37,803.17
122,3.36,803.27
122,3.37,803.37
122,3.39,803.47
122,3.38,803.57
122,3.39,803.67
122,3.39,803.77
123,3.4,803.87
123,3.4,803.97
123,3.41,804.08
123,3.41,804.18
123,3.4,804.28
123,3.42,804.38
123,3.41,804.48
123,3.42,804.58
123,3.43,804.68
123,3.42,804.78
124,3.42,804.88
124,3.42,804.98
124,3.42,805.09
124,3.4,805.19
124,3.39,805.29
124,3.44,805.39
124,3.45,805.49
124,3.46,805.59
124,3.45,805.69
124,3.46,805.79
125,3.46,805.89
125,3.46,806
125,3.47,806.1
125,3.47,806.2
125,3.49,806.3
125,3.5,806.4
125,3.51,806.5
125,3.52,806.6
125,3.54,806.7
125,3.53,806.8
126,3.54,806.91
126,3.54,807.01
126,3.49,807.11
126,3.45,807.21
126,3.47,807.31
126,3.47,807.41
126,3.47,807.51
126,3.48,807.61
126,3.52,807.71
126,3.52,807.81
127,3.55,807.91
127,3.58,808.02
127,3.6,808.12
127,3.54,808.22
127,3.49,808.32
127,3.51,808.42
127,3.57,808.52
127,3.6,808.62
127,3.59,808.72
127,3.53,808.83
128,3.52,808.93
128,3.52,809.03
128,3.57,809.13
128,3.57,809.23
128,3.56,809.33
128,3.54,809.43
128,3.54,809.53
128,3.56,809.63
128,3.58,809.73
129,3.58,809.84
129,3.58,809.94
129,3.59,810.04
129,3.6,810.14
129,3.56,810.24
129,3.57,810.34
129,3.56,810.44
129,3.6,810.54
129,3.6,810.64
129,3.61,810.75
130,3.6,810.85
130,3.59,810.95
130,3.61,811.05
130,3.61,811.15
130,3.62,811.25
130,3.57,811.35
130,3.55,811.45
130,3.56,811.55
130,3.61,811.65
130,3.62,811.76
131,3.63,811.86
131,3.62,811.96
131,3.66,812.06
131,3.72,812.16
131,3.77,812.26
131,3.83,812.36
131,3.93,812.46
131,4.01,812.56
131,4.06,812.66
131,4.11,812.77
132,4.15,812.87
132,4.21,812.97
132,4.24,813.07
132,4.26,813.17
132,4.34,813.27
132,4.4,813.37
132,4.45,813.47
132,4.48,813.57
132,4.51,813.67
132,4.54,813.78
133,4.6,813.88
133,4.64,813.98
133,4.7,814.08
133,4.72,814.18
133,4.74,814.28
133,4.79,814.38
133,4.79,814.48
133,4.82,814.59
133,4.85,814.69
133,4.89,814.79
134,4.9,814.89
134,4.94,814.99
134,4.98,815.09
134,5.02,815.19
134,5.05,815.29
134,5.07,815.39
134,5.09,815.49
134,5.1,815.59
134,5.12,815.7
134,5.15,815.8
135,5.17,815.9
135,5.21,816
135,5.22,816.1
135,5.25,816.2
135,5.29,816.3
135,5.28,816.4
135,5.28,816.51
135,5.34,816.61
135,5.36,816.71
135,5.37,816.81
136,5.38,816.91
136,5.42,817.01
136,5.44,817.11
136,5.46,817.21
136,5.46,817.31
136,5.48,817.41
136,5.49,817.52
136,5.53,817.62
136,5.55,817.72
136,5.59,817.82
137,5.63,817.92
137,5.64,818.02
137,5.62,818.12
137,5.63,818.22
137,5.64,818.32
137,5.65,818.42
137,5.66,818.53
137,5.68,818.63
137,5.69,818.73
137,5.71,818.83
138,5.72,818.93
138,5.69,819.03
138,5.7,819.13
138,5.74,819.23
138,5.78,819.33
138,5.78,819.44
138,5.79,819.54
138,5.8,819.64
138,5.8,819.74
138,5.8,819.84
139,5.82,819.94
139,5.83,820.04
139,5.87,820.14
139,5.88,820.24
139,5.9,820.34
139,5.88,820.45
139,5.89,820.55
139,5.89,820.65
139,5.91,820.75
140,5.93,820.85
140,5.93,820.95
140,5.94,821.05
140,5.94,821.15
140,5.95,821.25
140,5.98,821.35
140,5.97,821.46
140,5.99,821.56
140,6.01,821.66
140,6.01,821.76
141,5.95,821.86
141,5.94,821.96
141,5.96,822.06
141,5.98,822.16
141,5.99,822.27
141,6.03,822.37
141,6.05,822.47
141,6.06,822.57
141,6.06,822.67
141,6.07,822.77
142,6.06,822.87
142,6.08,822.97
142,6.09,823.07
142,6.09,823.17
142,6.06,823.28
142,6.06,823.38
142,6.07,823.48
142,6.06,823.58
142,6.07,823.68
142,6.09,823.78
143,6.11,823.88
143,6.1,823.98
143,6.1,824.08
143,6.09,824.19
143,6.11,824.29
143,6.14,824.39
143,6.14,824.49
143,6.14,824.59
143,6.14,824.69
143,6.15,824.79
144,6.13,824.89
144,6.14,824.99
144,6.14,825.09
144,6.14,825.2
144,6.14,825.3
144,6.14,825.4
144,6.1,825.5
144,6.08,825.6
144,6.08,825.7
144,6.11,825.8
145,6.11,825.9
145,6.13,826
145,6.13,826.1
145,6.14,826.21
145,6.14,826.31
145,6.14,826.41
145,6.16,826.51
145,6.12,826.61
145,6.11,826.71
145,6.09,826.81
146,6.13,826.91
146,6.14,827.01
146,6.13,827.11
146,6.13,827.22
146,6.12,827.32
146,6.11,827.42
146,6.09,827.52
146,6.1,827.62
146,6.11,827.72
146,6.12,827.82
147,6.15,827.92
147,6.12,828.03
147,6.1,828.13
147,6.11,828.23
147,6.13,828.33
147,6.12,828.43
147,6.12,828.53
147,6.16,828.63
147,6.14,828.73
147,6.15,828.83
148,6.17,828.93
148,6.17,829.03
148,6.14,829.14
148,6.11,829.24
148,6.12,829.34
148,6.15,829.44
148,6.16,829.54
148,6.17,829.64
148,6.11,829.74
148,6.11,829.84
149,6.12,829.95
149,6.13,830.05
149,6.13,830.15
149,6.13,830.25
149,6.14,830.35
149,6.12,830.45
149,6.13,830.55
149,6.14,830.65
149,6.15,830.75
150,6.15,830.85
150,6.15,830.96
150,6.15,831.06
150,6.13,831.16
150,6.14,831.26
150,6.15,831.36
150,6.11,831.46
150,6.12,831.56
150,6.14,831.66
150,6.14,831.76
151,6.15,831.86
151,6.14,831.97
151,6.16,832.07
151,6.15,832.17
151,6.13,832.27
151,6.11,832.37
151,6.1,832.47
151,6.17,832.57
151,6.19,832.67
151,6.2,832.77
152,6.13,832.88
152,6.14,832.98
152,6.13,833.08
152,6.09,833.18
152,6.09,833.28
152,6.1,833.38
152,6.1,833.48
152,6.1,833.58
152,6.11,833.68
152,6.12,833.78
153,6.12,833.89
153,6.13,833.99
153,6.12,834.09
153,6.12,834.19
153,6.09,834.29
153,6.11,834.39
153,6.09,834.49
153,6.11,834.59
153,6.12,834.69
153,6.14,834.79
154,6.18,834.9
154,6.16,835
154,6.12,835.1
154,6.1,835.2
154,6.1,835.3
154,6.16,835.4
154,6.17,835.5
154,6.16,835.6
154,6.19,835.71
154,6.19,835.81
155,6.17,835.91
155,6.12,836.01
155,6.14,836.11
155,6.15,836.21
155,6.15,836.31
155,6.18,836.41
155,6.21,836.51
155,6.25,836.61
155,6.25,836.72
155,6.2,836.82
156,6.2,836.92
156,6.21,837.02
156,6.24,837.12
156,6.25,837.22
156,6.27,837.32
156,6.3,837.42
156,6.31,837.52
156,6.33,837.63
156,6.34,837.73
156,6.34,837.83
157,6.32,837.93
157,6.31,838.03
157,6.31,838.13
157,6.32,838.23
157,6.31,838.33
157,6.3,838.43
157,6.32,838.53
157,6.33,838.64
157,6.33,838.74
157,6.33,838.84
158,6.33,838.94
158,6.34,839.04
158,6.32,839.14
158,6.32,839.24
158,6.32,839.34
158,6.33,839.44
158,6.33,839.54
158,6.35,839.65
158,6.36,839.75
158,6.35,839.85
159,6.37,839.95
159,6.36,840.05
159,6.37,840.15
159,6.36,840.25
159,6.36,840.35
159,6.39,840.45
159,6.4,840.55
159,6.41,840.66
159,6.4,840.76
159,6.41,840.86
160,6.4,840.96
160,6.37,841.06
160,6.37,841.16
160,6.38,841.26
160,6.41,841.36
160,6.42,841.47
160,6.42,841.57
160,6.42,841.67
160,6.44,841.77
161,6.45,841.87
161,6.48,841.97
161,6.49,842.07
161,6.5,842.17
161,6.48,842.27
161,6.48,842.37
161,6.45,842.47
161,6.45,842.58
161,6.46,842.68
161,6.5,842.78
162,6.5,842.88
162,6.51,842.98
162,6.5,843.08
162,6.5,843.18
162,6.52,843.28
162,6.52,843.39
162,6.53,843.49
162,6.52,843.59
162,6.54,843.69
162,6.54,843.79
163,6.49,843.89
163,6.47,843.99
163,6.5,844.09
163,6.55,844.19
163,6.55,844.29
163,6.56,844.4
163,6.57,844.5
163,6.59,844.6
163,6.53,844.7
163,6.5,844.8
164,6.48,844.9
164,6.51,845
164,6.51,845.1
164,6.49,845.2
164,6.49,845.3
164,6.47,845.41
164,6.49,845.51
164,6.5,845.61
164,6.5,845.71
164,6.5,845.81
165,6.53,845.91
165,6.55,846.01
165,6.54,846.11
165,6.54,846.21
165,6.53,846.32
165,6.56,846.42
165,6.58,846.52
165,6.57,846.62
165,6.59,846.72
165,6.62,846.82
166,6.61,846.92
166,6.57,847.02
166,6.58,847.12
166,6.6,847.22
166,6.65,847.33
166,6.65,847.43
166,6.62,847.53
166,6.59,847.63
166,6.57,847.73
166,6.57,847.83
167,6.57,847.93
167,6.59,848.03
167,6.6,848.13
167,6.61,848.23
167,6.61,848.34
167,6.62,848.44
167,6.64,848.54
167,6.62,848.64
167,6.59,848.74
167,6.59,848.84
168,6.6,848.94
168,6.62,849.04
168,6.63,849.15
168,6.66,849.25
168,6.69,849.35
168,6.68,849.45
168,6.64,849.55
168,6.63,849.65
168,6.64,849.75
168,6.62,849.85
169,6.63,849.95
169,6.61,850.05
169,6.61,850.16
169,6.6,850.26
169,6.62,850.36
169,6.62,850.46
169,6.62,850.56
169,6.66,850.66
169,6.67,850.76
169,6.68,850.86
170,6.6,850.96
170,6.6,851.07
170,6.6,851.17
170,6.6,851.27
170,6.62,851.37
170,6.63,851.47
170,6.64,851.57
170,6.65,851.67
170,6.63,851.77
171,6.62,851.87
171,6.62,851.97
171,6.68,852.08
171,6.72,852.18
171,6.73,852.28
171,6.69,852.38
171,6.71,852.48
171,6.72,852.58
171,6.72,852.68
171,6.72,852.78
172,6.72,852.88
172,6.75,852.98
172,6.76,853.09
172,6.74,853.19
172,6.74,853.29
172,6.74,853.39
172,6.76,853.49
172,6.75,853.59
172,6.76,853.69
172,6.78,853.79
173,6.79,853.89
173,6.79,854
173,6.78,854.1
173,6.78,854.2
173,6.78,854.3
173,6.78,854.4
173,6.79,854.5
173,6.82,854.6
173,6.82,854.7
173,6.82,854.8
174,6.81,854.91
174,6.81,855.01
174,6.8,855.11
174,6.79,855.21
174,6.79,855.31
174,6.79,855.41
174,6.82,855.51
174,6.82,855.61
174,6.81,855.71
174,6.81,855.81
175,6.81,855.91
175,6.79,856.02
175,6.77,856.12
175,6.78,856.22
175,6.8,856.32
175,6.83,856.42
175,6.81,856.52
175,6.79,856.62
175,6.8,856.72
175,6.79,856.83
176,6.81,856.93
176,6.8,857.03
176,6.81,857.13
176,6.8,857.23
176,6.8,857.33
176,6.78,857.43
176,6.77,857.53
176,6.75,857.63
176,6.78,857.73
176,6.8,857.84
177,6.79,857.94
177,6.73,858.04
177,6.72,858.14
177,6.74,858.24
177,6.76,858.34
177,6.76,858.44
177,6.76,858.54
177,6.78,858.64
177,6.76,858.75
177,6.77,858.85
178,6.74,858.95
178,6.75,859.05
178,6.78,859.15
178,6.8,859.25
178,6.8,859.35
178,6.8,859.45
178,6.79,859.55
178,6.81,859.65
178,6.81,859.76
178,6.82,859.86
179,6.8,859.96
179,6.76,860.06
179,6.79,860.16
179,6.81,860.26
179,6.85,860.36
179,6.85,860.46
179,6.82,860.56
179,6.8,860.66
179,6.81,860.77
179,6.83,860.87
180,6.82,860.97
180,6.83,861.07
180,6.87,861.17
180,6.88,861.27
180,6.87,861.37
180,6.85,861.47
180,6.86,861.57
180,6.91,861.67
180,6.93,861.78
180,6.93,861.88
181,6.9,861.98
181,6.9,862.08
181,6.9,862.18
181,6.91,862.28
181,6.92,862.38
181,6.92,862.48
181,6.9,862.59
181,6.9,862.69
181,6.91,862.79
182,6.93,862.89
182,6.93,862.99
182,6.91,863.09
182,6.9,863.19
182,6.91,863.29
182,6.93,863.39
182,6.93,863.49
182,6.92,863.59
182,6.93,863.7
182,6.94,863.8
183,6.93,863.9
183,6.91,864
183,6.92,864.1
183,6.91,864.2
183,6.93,864.3
183,6.93,864.4
183,6.9,864.51
183,6.88,864.61
183,6.88,864.71
183,6.9,864.81
184,6.89,864.91
184,6.88,865.01
184,6.92,865.11
184,6.92,865.21
184,6.91,865.31
184,6.92,865.41
184,6.92,865.52
184,6.93,865.62
184,6.96,865.72
184,6.95,865.82
185,6.93,865.92
185,6.94,866.02
185,6.93,866.12
185,6.94,866.22
185,6.94,866.32
185,6.94,866.42
185,6.94,866.53
185,6.96,866.63
185,6.96,866.73
185,6.94,866.83
186,6.94,866.93
186,6.94,867.03
186,6.95,867.13
186,6.95,867.23
186,6.95,867.33
186,6.95,867.44
186,6.94,867.54
186,6.94,867.64
186,6.94,867.74
186,6.95,867.84
187,6.95,867.94
187,6.97,868.04
187,6.96,868.14
187,6.98,868.24
187,6.98,868.34
187,6.97,868.45
187,6.97,868.55
187,6.96,868.65
187,6.95,868.75
187,6.95,868.85
188,6.95,868.95
188,6.93,869.05
188,6.94,869.15
188,6.94,869.25
188,6.97,869.35
188,6.97,869.46
188,6.97,869.56
188,6.95,869.66
188,6.96,869.76
188,6.95,869.86
189,6.94,869.96
189,6.95,870.06
189,6.94,870.16
189,6.96,870.27
189,6.95,870.37
189,6.98,870.47
189,6.98,870.57
189,6.98,870.67
189,6.93,870.77
189,6.92,870.87
190,6.93,870.97
190,6.95,871.07
190,6.97,871.17
190,6.96,871.28
190,6.94,871.38
190,6.94,871.48
190,6.95,871.58
190,6.97,871.68
190,6.97,871.78
190,6.96,871.88
191,6.95,871.98
191,6.96,872.08
191,6.96,872.19
191,6.95,872.29
191,6.96,872.39
191,6.94,872.49
191,6.92,872.59
191,6.95,872.69
191,6.97,872.79
191,6.96,872.89
192,7,872.99
192,7.02,873.09
192,7.02,873.2
192,6.99,873.3
192,6.96,873.4
192,6.98,873.5
192,6.99,873.6
192,6.98,873.7
192,6.99,873.8
193,7.03,873.9
193,7.03,874
193,7.02,874.1
193,7.01,874.21
193,7,874.31
193,7,874.41
193,7,874.51
193,7,874.61
193,6.98,874.71
193,6.99,874.81
194,6.98,874.91
194,7,875.01
194,6.98,875.11
194,6.99,875.22
194,6.99,875.32
194,7,875.42
194,6.99,875.52
194,6.96,875.62
194,6.98,875.72
194,6.99,875.82
195,7.02,875.92
195,7.03,876.03
195,6.99,876.13
195,6.99,876.23
195,6.99,876.33
195,7.02,876.43
195,7.03,876.53
195,7.01,876.63
195,7.01,876.73
195,7,876.83
194,6.98,876.93
194,6.96,877.03
194,6.96,877.14
194,7,877.24
194,7.01,877.34
194,7,877.44
194,7.01,877.54
194,7,877.64
194,7,877.74
194,7,877.84
193,7.02,877.95
193,7.02,878.05
193,7.03,878.15
193,7.04,878.25
193,7.03,878.35
193,7.04,878.45
193,7.03,878.55
193,7.03,878.65
193,7.02,878.75
193,7,878.85
192,7.06,878.96
192,7.07,879.06
192,7.07,879.16
192,7,879.26
192,7,879.36
192,7,879.46
192,7.01,879.56
192,7.02,879.66
192,7.01,879.76
192,7,879.86
191,7.01,879.97
191,7.03,880.07
191,7.05,880.17
191,7.05,880.27
191,7.03,880.37
191,7.02,880.47
191,7.03,880.57
191,7,880.67
191,7,880.77
191,7.02,880.88
190,7.05,880.98
190,7.04,881.08
190,7.02,881.18
190,7.02,881.28
190,7.01,881.38
190,6.98,881.48
190,6.97,881.58
190,6.97,881.68
190,6.99,881.78
190,7,881.89
189,7,881.99
189,7.04,882.09
189,7.04,882.19
189,7.01,882.29
189,6.95,882.39
189,6.96,882.49
189,6.98,882.59
189,7.01,882.69
189,7,882.79
189,6.99,882.9
188,6.97,883
188,6.96,883.1
188,6.98,883.2
188,6.99,883.3
188,6.99,883.4
188,7.01,883.5
188,7,883.6
