Time,Goal_Desp,SPA_Pressure_calculated,Presion_experimental_kPa,YM,P1_Position_X,P1_Position_Y,P1_Position_Z,P2_Position_X,P2_Position_Y,P2_Position_Z
0.0,0.0,0.0,2.8402357996390528e-05,32950.0,-1.6653345369377348e-16,20.0,0.0,-5.551115123125783e-17,10.0,10.0
0.001,6.817840563659203e-07,0.0001218409120198339,0.00011360943198556211,32950.0,1.8314771532690344e-08,20.000000344452435,1.8334434526146026e-09,-1.508667718530532e-08,9.999999639744061,10.000000015261445
0.002,3.084292746222306e-06,0.00020144945378625846,0.0002556164732034291,32950.0,4.556966942681484e-08,20.00000252639255,1.7122803175340096e-08,-2.0369725739488587e-08,10.00000056501733,9.999999808187694
0.003,6.63181237352693e-06,0.0002829571678802117,0.00045443772794224844,32950.0,9.460628952462358e-08,20.00000584788654,3.8227797261036756e-08,3.908394996532394e-09,10.000002140265115,9.999999458694917
0.004,1.132926049658932e-05,0.00039943717867456277,0.0007100542011456775,32950.0,1.7902023480287355e-07,20.00001022222466,5.868552105381397e-08,5.529603358533919e-08,10.000004178848373,9.999998998029785
0.005,1.736320391017423e-05,0.0005530518806253485,0.0010225038829264016,32950.0,3.0429264025189084e-07,20.000015829944605,7.73195292236295e-08,1.3025136652577984e-07,10.000006775978612,9.999998408460248
0.006,2.45691314126277e-05,0.0007335765432800831,0.0013916728029463648,32950.0,4.687855242879735e-07,20.000022534843318,9.45513047301283e-08,2.2758225221020112e-07,10.000009892408887,9.999997700273536
0.007,3.306927132131867e-05,0.0009484638287331278,0.001817731916712651,32950.0,6.69755081394996e-07,20.000030438546364,1.1180299319679676e-07,3.440047164904314e-07,10.00001356122075,9.99999686477485
0.008,4.278418602853296e-05,0.0011926800585163506,0.002300586248943547,32950.0,9.021368226891369e-07,20.00003947558568,1.310396292031335e-07,4.770636135020823e-07,10.000017760135451,9.999995908491721
0.009000000000000001,5.376534556393191e-05,0.00146960593366263,0.0028401408243573394,32950.0,1.1620564864811556e-06,20.00004968810626,1.5388773433322456e-07,6.244913107744665e-07,10.000022502392214,9.999994828700371
0.010000000000000002,6.597672646700684e-05,0.0017769799208803814,0.003436585593517454,32950.0,1.4464263642377517e-06,20.000061046367513,1.8145090657784024e-07,7.855908164544623e-07,10.00002777794689,9.999993628557773
0.011000000000000003,7.943814665655509e-05,0.002116187114173906,0.00408982558114218,32950.0,1.7542226778965997e-06,20.00007356636266,2.1407169342735344e-07,9.603535824354026e-07,10.0000335916179,9.999992306925579
0.012000000000000004,9.414610450423155e-05,0.0024866709964826324,0.004799860787231514,32950.0,2.0858579017346557e-06,20.000087246127105,2.5152238436465524e-07,1.1494894763264263e-06,10.000039943844957,9.999990863703612
0.013000000000000005,0.0001101132196599205,0.0028889713161059285,0.0055665962365037455,32950.0,2.4429457618491135e-06,20.00010209677426,2.9316704708293173e-07,1.353868829490068e-06,10.000046839305838,9.999989297475759
0.014000000000000005,0.0001273210090388387,0.0033222997732908622,0.006390221879522299,32950.0,2.827300154717438e-06,20.00011810198849,3.382220198910879e-07,1.5743496392106593e-06,10.00005427155789,9.99998760943572
0.015000000000000006,0.0001457618289480686,0.0037867457864938277,0.0072706427410054635,32950.0,3.2404843389177707e-06,20.000135253866613,3.860018054635539e-07,1.8113979586842355e-06,10.000062236193958,9.999985800230357
0.016000000000000007,0.0001654772247744675,0.004283689711908651,0.008207763845671524,32950.0,3.68371543518764e-06,20.000153590124356,4.36210653764757e-07,2.065235457537895e-06,10.000070749641223,9.99998386589796
0.017000000000000008,0.0001864337407730919,0.004811356948836717,0.009201680168802195,32950.0,4.157146203498385e-06,20.00017308221574,4.887749556203858e-07,2.3361724657000593e-06,10.000079801664949,9.999981808941978
0.01800000000000001,0.0002086151516673346,0.005369942377338619,0.0102525816609609,32950.0,4.660368595532649e-06,20.000193713379762,5.437542481834257e-07,2.623947337021537e-06,10.000089382656956,9.99997963145214
0.01900000000000001,0.0002320888712214196,0.0059617504515418265,0.011359993445739078,32950.0,5.193060900632318e-06,20.000215544655205,6.015522231450632e-07,2.9281311471063276e-06,10.000099518766195,9.999977327502721
