tiempo_s,presion_psi,presion_kPa,desplazamiento_mm
0.01,4.11941375e-06,2.8402357996390528e-05,6.817840563659203e-07
0.02,1.6477655e-05,0.00011360943198556211,3.084292746222306e-06
0.03,3.7074035e-05,0.0002556164732034291,6.63181237352693e-06
0.04,6.591062e-05,0.00045443772794224844,1.132926049658932e-05
0.05,0.000102984655,0.0007100542011456775,1.736320391017423e-05
0.06,0.00014830165,0.0010225038829264016,2.45691314126277e-05
0.07,0.000201845075,0.0013916728029463648,3.306927132131867e-05
0.08,0.000263639725,0.001817731916712651,4.278418602853296e-05
0.09,0.000333671825,0.002300586248943547,5.376534556393191e-05
0.1,0.0004119276,0.0028401408243573394,6.597672646700684e-05
0.11,0.0004984346,0.003436585593517454,7.943814665655509e-05
0.12,0.00059317905,0.00408982558114218,9.414610450423155e-05
0.13,0.0006961609499999999,0.004799860787231514,0.0001101132196599205
0.14,0.000807366525,0.0055665962365037455,0.0001273210090388387
0.15,0.0009268233249999999,0.006390221879522299,0.0001457618289480686
0.16,0.001054517575,0.0072706427410054635,0.0001654772247744675
0.17,0.0011904355,0.008207763845671524,0.0001864337407730919
0.18,0.001334590875,0.009201680168802195,0.0002086151516673346
0.19,0.00148701125,0.0102525816609609,0.0002320888712214196
0.2,0.00164762775,0.011359993445739078,0.0002567870243221914
0.21,0.00181650925,0.01252439039954529,0.0002827528710761973
0.22,0.00199365575,0.013745772522379539,0.0003099866232428557
0.23,0.0021789295,0.015023190061424692,0.0003384273795817262
0.24,0.00237246825,0.016357592769497876,0.0003681114809189352
0.25,0.002574272,0.0177489806465991,0.0003990891884801979
0.26,0.00278434075,0.019197353692728365,0.0004313357461735107
0.27,0.00300253675,0.02070176215506853,0.000464790282732146
0.28,0.0032291355,0.02226410553925386,0.000499600351052845
0.29,0.0034638615,0.0238824843396501,0.0005355939371721254
0.3,0.00370671475,0.025556898556257236,0.0005727963379630913
0.31,0.00395797075,0.02728924769470955,0.0006113801751790399
0.32,0.004217354,0.02907763224937276,0.0006511484261809344
0.33,0.00448500225,0.03092300197306401,0.0006922125937424105
0.34,0.004760915499999999,0.032825356865783285,0.0007345479970216369
0.35,0.005044956,0.03478374717471348,0.0007780938196804347
0.36,0.005337261499999999,0.0367991226526717,0.0008230116601983029
0.37,0.005637832,0.03887148329965796,0.000869201806855406
0.38,0.0059466675,0.041000829115672266,0.0009165645387894973
0.39,0.00626363025,0.043186210347897463,0.0009652642814085457
