Time,Goal_Desp,SPA_Pressure_calculated,YM,P1_Position_X,P1_Position_Y,P1_Position_Z,P2_Position_X,P2_Position_Y,P2_Position_Z
0.0,0.0,0.0,24000.0,-1.6653345369377348e-16,20.0,0.0,-5.551115123125783e-17,10.0,10.0
0.001,0.001534,0.0401217413249863,24000.0,1.0824645017726287e-05,20.00139411478683,2.4426211654438035e-06,1.2940238336422993e-07,10.000594846904963,9.9998613854912
0.002,0.003068,0.058155918084901156,24000.0,2.885497855792396e-05,20.002865133049198,7.642845950450727e-06,1.3067303813341091e-05,10.00131975952852,9.999700969531357
0.003,0.004602,0.08456376520325784,24000.0,5.92164254329397e-05,20.004306883985468,1.1815585063301715e-05,3.530712928540014e-05,10.002002103974746,9.99954652943224
0.004,0.006136,0.11318039054175444,24000.0,0.00010053871742032872,20.005740859088178,1.5330680971648025e-05,6.219702851401054e-05,10.002666057594617,9.999395591555656
0.005,0.00767,0.14167910701579406,24000.0,0.00014870065030736512,20.007175196114503,1.8706603035822944e-05,9.122378604314862e-05,10.003330758658127,9.999244792158336
0.006,0.009204,0.169997930465771,24000.0,0.00019917651461892616,20.008610145788182,2.2042777865605157e-05,0.00012041327619832787,10.0039971199634,9.999093535120995
0.007,0.010738000000000001,0.19829468682502668,24000.0,0.0002480538669366039,20.01004518842558,2.5384537336692325e-05,0.00014800447582485887,10.004663668294153,9.99894211515176
0.008,0.012272000000000002,0.22660287395585302,24000.0,0.0002926400775707383,20.011480228060968,2.8792148658807193e-05,0.00017286022931245482,10.005330081591538,9.99879070157604
0.009000000000000001,0.013806000000000002,0.25491576412312456,24000.0,0.00033171628724476543,20.0129152974678,3.230979317270233e-05,0.00019470118677272774,10.005996430426597,9.99863931691856
0.010000000000000002,0.015340000000000003,0.28322941449827743,24000.0,0.00036546171158668983,20.014350408936956,3.5951306875225963e-05,0.00021398383311876934,10.006662754363106,9.998487952502643
0.011000000000000003,0.016874000000000004,0.3115434933346438,24000.0,0.0003951243521182479,20.015785553965625,3.970162851624215e-05,0.00023158537456358097,10.00732905665232,9.998336598847319
0.012000000000000004,0.018408000000000004,0.33985796927857026,24000.0,0.00042254195886060053,20.017220718491775,4.3525154048595915e-05,0.00024848386355275087,10.007995340164825,9.998185242296888
0.013000000000000005,0.019942000000000005,0.36817256447604535,24000.0,0.00044963441032003226,20.018655888705474,4.737759578010703e-05,0.00026553014270885855,10.008661612658221,9.998033864599423
0.014000000000000005,0.021476000000000006,0.39648699801691134,24000.0,0.0004779803587741105,20.02009105345131,5.121795289708686e-05,0.0002833250998551251,10.009327882328629,9.997882447522038
0.015000000000000006,0.023010000000000006,0.4248011053496397,24000.0,0.0005085535188711909,20.021526205831595,5.501738699381642e-05,0.0003021798585416957,10.009994154812397,9.997730977614705
0.016000000000000007,0.024544000000000007,0.45311484503011945,24000.0,0.000541643089377597,20.022961343785685,5.876334418963847e-05,0.0003221332626093254,10.010660432338796,9.997579448700794
0.017000000000000008,0.026078000000000007,0.4814282753436883,24000.0,0.0005769366726656733,20.024396469526714,6.245897722462201e-05,0.00034300714902968377,10.0113267140549,9.99742786186724
0.01800000000000001,0.027612000000000008,0.5097415206082161,24000.0,0.0006137134068761041,20.02583158816977,6.611908915576947e-05,0.000364483964500284,10.011992996928424,9.99727622364627
0.01900000000000001,0.02914600000000001,0.5380547321466549,24000.0,0.0006510828102991861,20.027266706030424,6.97643443537399e-05,0.00038619226724267985,10.01265927687745,9.997124543331736
0.02000000000000001,0.03068000000000001,0.5663680514410786,24000.0,0.00068820904213307,20.02870182903086,7.341546776162833e-05,0.00040778610269459614,10.013325549859829,9.996972830297214
0.02100000000000001,0.032214000000000007,0.5946815826639208,24000.0,0.0007244762295751661,20.030136961527823,7.708874025019741e-05,0.0004290061340909146,10.013991812717537,9.996821091934962
0.022000000000000013,0.03374800000000001,0.622995378524311,24000.0,0.0007595723512347496,20.03157210572102,8.079348636386152e-05,0.000449714317399319,10.01465806365395,9.996669332523345
0.023000000000000013,0.03528200000000001,0.6513094397384177,24000.0,0.0007934911282697632,20.033007261643675,8.453163405564013e-05,0.00046989934840618863,10.015324302320526,9.996517553040539
0.024000000000000014,0.03681600000000001,0.6796237254598283,24000.0,0.0008264688270562814,20.034442427613868,8.829895076956085e-05,0.0004896559663751798,10.01599052957806,9.99636575172993
0.025000000000000015,0.03835000000000001,0.7079381703259444,24000.0,0.0008588830815874915,20.035877600953444,9.208729501541946e-05,0.0005091461214436488,10.01665674705552,9.996213925110197
0.026000000000000016,0.03988400000000001,0.7362527031650106,24000.0,0.0008911431598280228,20.037312778765504,9.588717153080628e-05,0.00052855283208042,10.01732295664423,9.996062069108598
0.027000000000000017,0.04141800000000001,0.7645672631226854,24000.0,0.0009235966965515652,20.038747958593284,9.968998925985462e-05,0.0005480376843651769,10.017989160048016,9.995910180052153
0.028000000000000018,0.04295200000000001,0.7928818102973874,24000.0,0.000956469148711725,20.0401831388468,0.00010348962841610909,0.0005677105330845755,10.01865535846991,9.995758255348735
0.02900000000000002,0.04448600000000001,0.8211963297255475,24000.0,0.0009898418759520244,20.04161831895489,0.0001072831570161914,0.0005876159118012869,10.019321552469597,9.99560629379479
0.03000000000000002,0.04602000000000001,0.8495108292787912,24000.0,0.001023665333264756,20.04305349927063,0.00011107074441979448,0.000607736159048855,10.019987741983801,9.995454295534946
0.03100000000000002,0.04755400000000001,0.877825333087757,24000.0,0.0010577971779712758,20.044488680800264,0.00011485496717533739,0.0006280074911906297,10.020653926469517,9.995302261761848
0.03200000000000002,0.049088000000000014,0.9061398729131459,24000.0,0.0010920519749347823,20.045923864852014,0.00011863977885101518,0.0006483430090511999,10.021320105115477,9.995150194272362
0.03300000000000002,0.050622000000000014,0.9344544796577069,24000.0,0.0011262495381209603,20.047359052694894,0.0001224294203936993,0.0006686561890037468,10.021986277063604,9.99499809499849
0.03400000000000002,0.052156000000000015,0.9627691768567127,24000.0,0.0011602519673173384,20.048794245298136,0.00012622750071933364,0.0006888795537419723,10.022652441594005,9.994845965609883
0.035000000000000024,0.053690000000000015,0.9910839770982693,24000.0,0.0011939839257321117,20.050229443188957,0.0001300363947236982,0.000708975362529507,10.023318598243161,9.994693807250659
0.036000000000000025,0.055224000000000016,1.0193988815325195,24000.0,0.0012274353983513508,20.05166464643399,0.00013385701374729608,0.0007289375979476209,10.023984746845274,9.994541620434592
0.037000000000000026,0.05675800000000002,1.0477138819235046,24000.0,0.0012606500394079512,20.053099854721996,0.0001376889184608876,0.0007487866235513785,10.024650887504201,9.994389405087361
0.03800000000000003,0.05829200000000002,1.0760289642820704,24000.0,0.0012937046119604334,20.054535067509537,0.0001415306824657514,0.0007685592293657506,10.025317020516114,9.994237160698297
0.03900000000000003,0.05982600000000002,1.1043441129183926,24000.0,0.0013266857496962436,20.05597028418412,0.00014538038327482905,0.0007882972244988573,10.025983146268079,9.994084886529798
0.04000000000000003,0.06136000000000002,1.132659314052158,24000.0,0.0013596695263004,20.057405504208667,0.00014923609588946007,0.0008080373760903092,10.02664926513907,9.993932581831249
0.04100000000000003,0.06289400000000002,1.1609745582007085,24000.0,0.001392707568107443,20.058840727218815,0.00015309628820714405,0.0008278045904087095,10.027315377422642,9.993780246013271
0.04200000000000003,0.06442800000000001,1.1892898411732848,24000.0,0.0014258212732493614,20.060275953063133,0.00015696005709597838,0.0008476091110253825,10.027981483282767,9.993627878755058
0.04300000000000003,0.065962,1.2176051637215208,24000.0,0.0014590036546305307,20.06171118178994,0.00016082718819504516,0.0008674474668504129,10.028647582745464,9.993475480035412
0.04400000000000003,0.067496,1.2459205302151386,24000.0,0.0014922268098606084,20.063146413594453,0.00016469806224705952,0.0008873061518872571,10.029313675720672,9.993323050096276
0.04500000000000003,0.06903,1.2742359468318871,24000.0,0.001525452249729664,20.0645816487462,0.00016857345737270046,0.0009071666546665025,10.02997976204364,9.993170589359313
0.046000000000000034,0.07056399999999999,1.3025514197384893,24000.0,0.0015586412936171579,20.06601688751556,0.00017245430879003765,0.0009270104702627235,10.03064584152329,9.99301809832178
0.047000000000000035,0.07209799999999998,1.3308669536756326,24000.0,0.0015917633140961063,20.067452130115903,0.00017634148415085482,0.0009468230314687576,10.031311913986261,9.992865577457282
0.048000000000000036,0.07363199999999998,1.3591825511385478,24000.0,0.001624800535788451,20.06888737667007,0.00018023561778313102,0.0009665959579840955,10.03197797930851,9.992713027141082
0.04900000000000004,0.07516599999999997,1.3874982122057076,24000.0,0.0016577490969962305,20.070322627203108,0.00018413702657993358,0.0009863275106942182,10.032644037430071,9.992560447610481
0.05000000000000004,0.07669999999999996,1.415813934921943,24000.0,0.001690616936556033,20.07175788165712,0.00018804570854263902,0.001006021541892388,10.033310088353574,9.992407838961723
0.05100000000000004,0.07823399999999996,1.4441297160237632,24000.0,0.001723419623070932,20.073193139920573,0.0001919614078222942,0.0010256854868584964,10.033976132130054,9.992255201176711
0.05200000000000004,0.07976799999999995,1.4724455518110544,24000.0,0.0017561754451393963,20.074628401863336,0.00019588371933149107,0.0010453280266282117,10.034642168837802,9.99210253416797
0.05300000000000004,0.08130199999999994,1.5007614388864867,24000.0,0.001788900959782569,20.076063667367485,0.00019981220326498184,0.001064956985588561,10.035308198559491,9.991949837829214
0.05400000000000004,0.08283599999999994,1.529077374713819,24000.0,0.0018216078471454678,20.07749893634944,0.00020374648367726955,0.0010845778571478837,10.035974221363357,9.991797112079453
0.05500000000000004,0.08436999999999993,1.5573933578546808,24000.0,0.0018543014633971011,20.0789342087701,0.00020768631395939874,0.001104193135409548,10.036640237291074,9.991644356892955
