Time,Pressure,Position_X,Position_Y,Position_Z,Angle
0.217,17.94156,-0.0340834840920834,21.7307539831965,-0.0526988249419416,-12.0640692937869
0.218,18.02424,-0.0342175396164621,21.739295763325,-0.0530744789861281,-12.1200579725536
0.219,18.10692,-0.0343516821199457,21.7478428029221,-0.0534513696379667,-12.1760640248081
0.22,18.1896,-0.0344859141491656,21.756395104457,-0.0538294969849346,-12.2320876007744
0.221,18.27228,-0.0346202382315267,21.7649526704263,-0.0542088611078722,-12.2881288501334
0.222,18.35496,-0.0347546568752283,21.7735155033538,-0.0545894620808289,-12.344187922024
0.223,18.43764,-0.0348891725693284,21.7820836057903,-0.0549712999710942,-12.4002649650454
0.224,18.52032,-0.0350237877837188,21.7906569803137,-0.0553543748388989,-12.4563601272586
0.225,18.603,-0.0351585049692366,21.7992356295291,-0.0557386867374742,-12.5124735561879
0.226,18.68568,-0.035293326557647,21.8078195560684,-0.05612423571278,-12.5686053988235
0.227,18.76836,-0.0354282549616304,21.8164087625904,-0.0565110218034846,-12.6247558016219
0.228,18.85104,-0.035563292574852,21.8250032517809,-0.056899045040838,-12.6809249105081
0.229,18.93372,-0.0356984417719579,21.8336030263526,-0.057288305448556,-12.7371128708779
0.23,19.0164,-0.0358337049086315,21.8422080890446,-0.0576788030426914,-12.7933198275978
0.231,19.09908,-0.0359690843215597,21.8508184426233,-0.0580705378314903,-12.8495459250086
0.232,19.18176,-0.0361045823284498,21.8594340898814,-0.0584635098153276,-12.9057913069248
0.233,19.26444,-0.0362402012280338,21.8680550336381,-0.0588577189866548,-12.9620561166384
0.234,19.34712,-0.0363759433001126,21.8766812767395,-0.0592531653297107,-13.0183404969184
0.235,19.4298,-0.0365118108055489,21.8853128220582,-0.0596498488205469,-13.0746445900128
0.236,19.51248,-0.0366478059862073,21.8939496724931,-0.0600477694268634,-13.1309685376506
0.237,19.59516,-0.0367839310650117,21.9025918309695,-0.0604469271079411,-13.1873124810427
0.238,19.67784,-0.0369201882459308,21.9112393004391,-0.0608473218144747,-13.2436765608834
0.239,19.76052,-0.0370565797139805,21.9198920838802,-0.0612489534884773,-13.3000609173516
0.24,19.8432,-0.0371931076352132,21.9285501842969,-0.0616518220631671,-13.3564656901122
0.241,19.92588,-0.037329774156649,21.9372136047197,-0.0620559274629036,-13.4128910183174
0.242,20.00856,-0.0374665814063737,21.9458823482054,-0.0624612696029717,-13.469337040608
0.243,20.09124,-0.0376035314933938,21.9545564178366,-0.0628678483895493,-13.5258038951146
0.244,20.17392,-0.037740626507704,21.9632358167222,-0.0632756637196298,-13.5822917194586
0.245,20.2566,-0.0378778685202406,21.9719205479968,-0.0636847154808399,-13.6388006507539
0.246,20.33928,-0.0380152595829069,21.9806106148211,-0.0640950035513303,-13.6953308256076
0.247,20.42196,-0.0381528017284317,21.9893060203818,-0.0645065277996685,-13.751882380121
0.248,20.50464,-0.0382904969704775,21.998006767891,-0.0649192880848072,-13.8084554498918
0.249,20.58732,-0.0384283473034992,22.006712860587,-0.0653332842558584,-13.8650501700134
0.25,20.67,-0.0385663547027938,22.0154243017335,-0.0657485161521155,-13.9216666750777
0.251,20.75268,-0.0387045211243967,22.02414109462,-0.0661649836027827,-13.9783050991753
0.252,20.83536,-0.038842848505085,22.0328632425613,-0.0665826864270135,-14.0349655758962
0.253,20.91804,-0.0389813387623782,22.0415907488981,-0.0670016244336992,-14.0916482383317
0.254,21.00072,-0.0391199937943765,22.0503236169963,-0.0674217974215083,-14.1483532190747
0.255,21.0834,-0.0392588154798439,22.0590618502473,-0.0678432051785838,-14.205080650221
0.256,21.16608,-0.0393978056780826,22.0678054520678,-0.0682658474825662,-14.26183066337
0.257,21.24876,-0.0395369662289209,22.0765544258998,-0.0686897241004179,-14.3186033896256
0.258,21.33144,-0.0396762989526818,22.0853087752106,-0.0691148347884162,-14.3753989595973
0.259,21.41412,-0.0398158056500816,22.0940685034925,-0.0695411792919224,-14.4322175034009
0.26,21.4968,-0.0399554881021479,22.102833614263,-0.0699687573454092,-14.4890591506596
0.261,21.57948,-0.040095348070297,22.1116041110647,-0.0703975686722696,-14.5459240305043
0.262,21.66216,-0.0402353872961111,22.120379997465,-0.0708276129846779,-14.6028122715746
0.263,21.74484,-0.0403756075013744,22.1291612770563,-0.0712588899835993,-14.6597240020206
0.264,21.82752,-0.040516010388058,22.137947953456,-0.0716913993586294,-14.7166593495013
0.265,21.9102,-0.0406565976380831,22.1467400303061,-0.07212514078783,-14.7736184411879
0.266,21.99288,-0.0407973709134401,22.1555375112735,-0.0725601139377444,-14.830601403763
0.267,22.07556,-0.0409383318559792,22.1643404000496,-0.0729963184632784,-14.887608363422
0.268,22.15824,-0.0410794820873815,22.1731487003505,-0.073433754007467,-14.9446394458727
0.269,22.24092,-0.0412208232091585,22.1819624159169,-0.0738724202015576,-15.0016947763376
0.27,22.3236,-0.0413623568024804,22.1907815505138,-0.0743123166647687,-15.0587744795531
0.271,22.40628,-0.0415040844281419,22.1996061079309,-0.0747534430042852,-15.1158786797709
0.272,22.48896,-0.0416460076264337,22.2084360919821,-0.0751957988151132,-15.1730075007581
0.273,22.57164,-0.0417881279171329,22.2172715065056,-0.0756393836799687,-15.2301610657984
0.274,22.65432,-0.0419304467993734,22.2261123553638,-0.0760841971692487,-15.287339497692
0.275,22.737,-0.042072965751538,22.2349586424433,-0.0765302388408543,-15.3445429187563
0.276,22.81968,-0.0422156862312467,22.2438103716548,-0.0769775082401441,-15.4017714508269
0.277,22.90236,-0.0423586096752128,22.2526675469332,-0.0774260048998147,-15.4590252152575
0.278,22.98504,-0.0425017374990854,22.2615301722371,-0.0778757283398949,-15.5163043329206
0.279,23.06772,-0.0426450710974957,22.2703982515492,-0.0783266780674841,-15.5736089242081
0.28,23.1504,-0.0427886118438597,22.2792717888759,-0.0787788535767777,-15.6309391090315
0.281,23.23308,-0.0429323610902798,22.2881507882476,-0.0792322543489644,-15.6882950068222
0.282,23.31576,-0.0430763201674802,22.2970352537183,-0.0796868798521403,-15.7456767365323
0.283,23.39844,-0.0432204903847051,22.3059251893657,-0.0801427295411779,-15.8030844166352
0.284,23.48112,-0.0433648730296112,22.314820599291,-0.0805998028576737,-15.8605181651251
0.285,23.5638,-0.0435094693680736,22.3237214876189,-0.0810580992298336,-15.9179780995179
0.286,23.64648,-0.0436542806442387,22.3326278584978,-0.0815176180724231,-15.9754643368517
0.287,23.72916,-0.0437993080802432,22.3415397160992,-0.0819783587866247,-16.0329769936867
0.288,23.81184,-0.0439445528762017,22.3504570646181,-0.082440320759994,-16.0905161861055
0.289,23.89452,-0.0440900162100971,22.3593799082727,-0.0829035033663693,-16.1480820297139
0.29,23.9772,-0.0442356992375734,22.3683082513046,-0.0833679059657263,-16.2056746396406
0.291,24.05988,-0.0443816030919204,22.3772420979782,-0.0838335279042646,-16.2632941305377
0.292,24.14256,-0.0445277288838615,22.3861814525812,-0.0843003685141206,-16.3209406165809
0.293,24.22524,-0.0446740777014831,22.3951263194241,-0.0847684271134045,-16.3786142114699
0.294,24.30792,-0.0448206506100854,22.4040767028407,-0.0852377030061061,-16.4363150284281
0.295,24.3906,-0.0449674486521022,22.4130326071872,-0.0857081954819463,-16.4940431802033
0.296,24.47328,-0.0451144728468629,22.421994036843,-0.0861799038163892,-16.5517987790677
0.297,24.55596,-0.0452617241905511,22.4309609962101,-0.0866528272705346,-16.6095819368178
0.298,24.63864,-0.0454092036560415,22.439933489713,-0.087126965091055,-16.6673927647752
0.299,24.72132,-0.0455569121927955,22.448911521799,-0.0876023165100637,-16.7252313737853
0.3,24.804,-0.045704850726634,22.457895096938,-0.0880788807450645,-16.7830978742196
0.301,24.88668,-0.0458530201596851,22.4668842196223,-0.0885566569989201,-16.8409923759737
0.302,24.96936,-0.0460014213701491,22.4758788943663,-0.0890356444597529,-16.8989149884685
0.303,25.05204,-0.0461500552123014,22.4848791257073,-0.0895158423008693,-16.9568658206499
0.304,25.13472,-0.04629892251618,22.4938849182045,-0.0899972496806961,-17.0148449809897
0.305,25.2174,-0.0464480240875297,22.5028962764394,-0.0904798657426691,-17.0728525774834
0.306,25.30008,-0.0465973607076204,22.5119132050156,-0.0909636896152435,-17.1308887176528
0.307,25.38276,-0.0467469331330905,22.5209357085589,-0.0914487204118217,-17.1889535085448
0.308,25.46544,-0.0468967420958419,22.529963791717,-0.0919349572305782,-17.2470470567311
0.309,25.54812,-0.0470467883027622,22.5389974591594,-0.0924223991545267,-17.3051694683086
0.31,25.6308,-0.0471970724357532,22.5480367155778,-0.092911045251382,-17.3633208489
0.311,25.71348,-0.0473475951513103,22.5570815656856,-0.0934008945735402,-17.421501303652
0.312,25.79616,-0.0474983570806137,22.5661320142177,-0.0938919461579887,-17.4797109372374
0.313,25.87884,-0.0476493588291923,22.5751880659311,-0.0943841990262452,-17.5379498538527
0.314,25.96152,-0.0478006009768416,22.5842497256039,-0.0948776521843696,-17.5962181572205
0.315,26.0442,-0.0479520840774184,22.5933169980363,-0.0953723046227898,-17.6545159505876
0.316,26.12688,-0.0481038086586312,22.6023898880494,-0.0958681553163567,-17.7128433367253
0.317,26.20956,-0.0482557752219522,22.6114684004864,-0.0963652032242218,-17.7712004179294
0.318,26.29224,-0.0484079842423945,22.6205525402111,-0.0968634472898067,-17.8295872960205
